12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R2_6_1
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 16659.830
BKS: 15145.3
Optimal: 0
Mon 14 Feb 2022 08:44:46 AM EST
timestamp: 1644846286
Solution value, local machine time, standardized time
16641.4 0.225 0.248
16574.0 0.227 0.250
16559.1 0.228 0.251
16551.3 0.229 0.252
16517.7 0.236 0.260
16494.8 0.239 0.263
16485.5 0.240 0.264
16463.6 0.242 0.267
16457.4 0.247 0.272
16444.0 0.251 0.277
16435.3 0.260 0.287
16426.0 0.264 0.291
16410.1 0.266 0.293
16327.9 0.267 0.294
16326.7 0.270 0.298
16316.6 0.272 0.300
16299.5 0.273 0.301
16256.7 0.287 0.316
16248.3 0.288 0.317
16230.2 0.301 0.332
16207.1 0.306 0.337
16202.5 0.310 0.342
16177.0 0.314 0.346
16174.1 0.316 0.348
16151.5 0.317 0.349
16063.2 0.333 0.367
16056.9 0.347 0.382
16049.4 0.348 0.383
16037.3 0.382 0.421
15980.8 0.385 0.424
15973.4 0.407 0.449
15971.1 0.412 0.454
15959.3 0.440 0.485
15936.2 0.447 0.493
15934.5 0.451 0.497
15927.4 0.455 0.501
15926.7 0.468 0.516
15925.7 0.469 0.517
15919.0 0.625 0.689
15918.9 0.649 0.715
15917.8 0.757 0.834
15917.4 0.832 0.917
15917.3 0.900 0.992
15912.7 1.038 1.144
15912.5 1.076 1.186
15888.9 1.092 1.203
15879.3 1.131 1.246
15876.8 1.172 1.292
15876.4 1.315 1.449
15872.3 1.664 1.834
15860.9 1.716 1.891
15833.3 1.717 1.892
15830.2 1.733 1.910
15822.7 1.970 2.171
15812.7 2.064 2.275
15812.0 2.265 2.496
15811.7 2.491 2.745
15782.5 2.593 2.857
15762.3 2.615 2.882
15757.5 2.694 2.969
15756.5 2.904 3.200
15748.0 3.010 3.317
15744.1 7.361 8.112
15736.1 7.362 8.113
15710.4 7.366 8.117
15710.3 7.369 8.121
15710.2 7.394 8.148
15707.6 7.444 8.203
15705.8 7.634 8.413
15703.4 7.949 8.760
15672.4 8.034 8.853
15662.4 8.047 8.868
15661.8 8.203 9.040
15637.2 8.263 9.106
15603.2 8.281 9.126
15594.2 8.331 9.181
15558.2 8.758 9.651
15545.2 9.094 10.022
15537.3 23.493 25.889
15532.1 23.802 26.230
15511.4 23.830 26.261
15507.3 23.859 26.293
15505.7 23.863 26.297
15500.1 23.977 26.423
15478.7 24.181 26.647
15455.3 24.206 26.675
15454.2 24.317 26.797
15448.6 24.327 26.808
15447.8 24.338 26.820
15446.2 24.523 27.024
15441.1 24.538 27.041
15425.0 24.545 27.049
15423.9 24.677 27.194
15419.0 24.682 27.200
15414.2 24.690 27.208
15411.8 24.756 27.281
15410.9 24.777 27.304
15410.2 24.779 27.306
15408.2 24.819 27.351
15403.9 24.843 27.377
15402.9 24.888 27.427
15400.9 24.908 27.449
15399.9 24.910 27.451
15396.6 24.919 27.461
15396.2 24.998 27.548
15391.6 25.043 27.597
15390.8 25.097 27.657
15389.0 25.098 27.658
15387.6 25.134 27.698
15386.8 25.165 27.732
15385.6 25.216 27.788
15385.1 25.231 27.805
15384.8 25.239 27.813
15383.7 25.279 27.857
15383.0 25.338 27.922
15382.0 25.340 27.925
15379.9 25.426 28.019
15378.9 25.704 28.326
15378.7 25.715 28.338
15377.3 25.722 28.346
15369.9 25.765 28.393
15337.4 26.119 28.783
15335.5 26.178 28.848
15334.1 26.188 28.859
15333.9 26.203 28.876
15320.2 27.347 30.136
15319.2 31.943 35.201
15318.8 31.954 35.213
15318.6 31.956 35.216
15318.0 31.986 35.249
15314.9 32.840 36.190
15313.9 34.204 37.693
15313.3 36.942 40.710
15310.6 37.001 40.775
15309.4 39.701 43.751
15308.6 51.118 56.332
15308.0 52.329 57.667
15303.3 52.331 57.669
15302.7 52.486 57.840
15300.4 53.122 58.540
15294.6 54.366 59.911
15292.4 63.997 70.525
15278.9 64.048 70.581
15278.5 64.181 70.727
15278.3 64.184 70.731
15269.0 83.576 92.101
15268.8 84.281 92.878
15267.8 84.994 93.663
15266.5 85.020 93.692
15265.3 85.766 94.514
15262.9 88.844 97.906
15258.2 89.248 98.351
15256.6 114.929 126.652
15250.9 115.717 127.520
15250.2 118.434 130.514
15250.0 121.147 133.504
15247.4 131.321 144.716
15243.4 166.091 183.032
15242.0 166.100 183.042
15238.1 166.679 183.680
15235.5 166.847 183.865
15234.8 187.723 206.871
15234.7 187.912 207.079
15234.6 188.013 207.190
15231.5 188.171 207.364
15230.8 188.288 207.493
15230.2 188.316 207.524
15227.7 188.458 207.681
15226.4 586.423 646.238
15225.7 586.685 646.527
15225.5 588.007 647.984
15225.3 588.245 648.246
15221.6 1996.632 2200.288
15220.2 1998.003 2201.799
15219.2 1998.008 2201.805
15219.0 1998.402 2202.239
15218.0 1998.411 2202.249
15216.9 1998.463 2202.306
15206.7 1998.870 2202.755
15206.6 1998.966 2202.861
15204.9 2075.333 2287.017
15203.7 2075.916 2287.659
15203.5 2076.218 2287.992
15203.3 2152.457 2372.008
15203.1 2152.685 2372.259
15200.1 2152.687 2372.261
15199.6 2153.062 2372.674
15198.4 2153.151 2372.772
15198.2 2153.583 2373.248
15189.1 2155.523 2375.386
Primal Integral: 0.4765996228
