12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R2_6_3
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 11500.830
BKS: 10455.3
Optimal: 0
Mon 14 Feb 2022 10:33:40 AM EST
timestamp: 1644852820
Solution value, local machine time, standardized time
11477.6 0.258 0.284
11462.9 0.260 0.287
11461.3 0.261 0.288
11461.1 0.262 0.289
11460.2 0.264 0.291
11458.6 0.267 0.294
11428.1 0.271 0.299
11425.3 0.272 0.300
11424.4 0.281 0.310
11410.6 0.293 0.323
11385.1 0.294 0.324
11376.8 0.298 0.328
11358.8 0.299 0.329
11344.5 0.306 0.337
11344.3 0.316 0.348
11333.4 0.330 0.364
11323.7 0.339 0.374
11313.9 0.342 0.377
11310.0 0.344 0.379
11303.2 0.347 0.382
11300.8 0.348 0.383
11293.4 0.379 0.418
11292.3 0.385 0.424
11292.2 0.389 0.429
11291.5 0.394 0.434
11285.8 0.403 0.444
11285.4 0.412 0.454
11279.3 0.433 0.477
11222.1 0.442 0.487
11216.9 0.448 0.494
11212.5 0.449 0.495
11211.0 0.458 0.505
11203.6 0.460 0.507
11192.4 0.472 0.520
11164.2 0.473 0.521
11163.9 0.484 0.533
11161.9 0.487 0.537
11161.4 0.538 0.593
11158.8 0.544 0.599
11146.5 0.579 0.638
11144.9 0.591 0.651
11144.4 0.595 0.656
11138.8 0.604 0.666
11138.0 0.605 0.667
11131.8 0.638 0.703
11131.5 0.640 0.705
11116.3 0.698 0.769
11109.4 0.703 0.775
11107.3 0.704 0.776
11104.4 0.709 0.781
11102.5 0.714 0.787
11078.7 0.716 0.789
11077.3 0.717 0.790
11074.8 0.730 0.804
11060.0 0.734 0.809
11059.7 0.736 0.811
11055.9 0.752 0.829
11047.0 0.757 0.834
11041.8 0.758 0.835
11038.3 0.781 0.861
11038.2 0.794 0.875
11014.0 0.813 0.896
11012.6 0.891 0.982
11011.1 1.136 1.252
11008.5 1.143 1.260
11007.9 1.155 1.273
11006.8 1.160 1.278
11006.7 1.233 1.359
11006.6 1.234 1.360
11006.3 1.278 1.408
11005.0 1.310 1.444
11004.8 1.315 1.449
11003.4 1.351 1.489
11003.3 1.367 1.506
11002.3 1.473 1.623
11001.0 1.492 1.644
11000.1 1.617 1.782
10992.0 1.739 1.916
10986.7 2.188 2.411
10985.2 2.192 2.416
10975.8 2.206 2.431
10970.5 2.212 2.438
10968.9 2.303 2.538
10962.7 2.338 2.576
10950.1 2.734 3.013
10938.2 2.762 3.044
10914.9 2.768 3.050
10909.3 2.831 3.120
10905.4 2.993 3.298
10884.4 2.994 3.299
10873.1 3.080 3.394
10872.0 3.097 3.413
10870.0 3.114 3.432
10869.1 3.258 3.590
10865.7 3.274 3.608
10864.5 12.191 13.434
10863.5 12.260 13.511
10861.0 12.396 13.660
10860.3 12.415 13.681
10857.3 12.440 13.709
10856.0 12.446 13.715
10854.9 12.698 13.993
10853.2 12.700 13.995
10852.9 12.713 14.010
10797.4 12.921 14.239
10792.8 12.941 14.261
10792.4 12.943 14.263
10768.8 12.996 14.322
10768.3 13.033 14.362
10765.1 13.056 14.388
10764.4 13.171 14.514
10764.3 13.172 14.516
10763.0 13.258 14.610
10762.8 13.267 14.620
10755.9 13.724 15.124
10749.7 13.782 15.188
10742.9 13.826 15.236
