12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_6_1
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 23401.620
BKS: 21274.2
Optimal: 0
Sun 13 Feb 2022 11:40:15 PM EST
timestamp: 1644813615
Solution value, local machine time, standardized time
23389.5 0.152 0.168
23387.3 0.154 0.170
23341.2 0.158 0.174
23271.2 0.159 0.175
23258.4 0.161 0.177
23244.6 0.164 0.181
23243.4 0.165 0.182
23200.7 0.170 0.187
23157.6 0.172 0.190
23134.3 0.174 0.192
23133.2 0.176 0.194
23133.0 0.177 0.195
23116.8 0.179 0.197
23017.4 0.180 0.198
22999.7 0.189 0.208
22987.7 0.191 0.210
22981.7 0.192 0.212
22961.4 0.194 0.214
22911.1 0.196 0.216
22910.9 0.201 0.222
22903.0 0.204 0.225
22893.9 0.206 0.227
22860.5 0.209 0.230
22849.4 0.212 0.234
22826.8 0.218 0.240
22801.0 0.227 0.250
22710.2 0.235 0.259
22688.4 0.239 0.263
22668.3 0.249 0.274
22606.1 0.252 0.278
22604.2 0.253 0.279
22594.6 0.276 0.304
22577.9 0.284 0.313
22576.6 0.285 0.314
22573.1 0.300 0.331
22545.5 0.307 0.338
22541.1 0.314 0.346
22517.8 0.318 0.350
22517.3 0.319 0.352
22482.9 0.324 0.357
22477.4 0.325 0.358
22476.3 0.327 0.360
22444.8 0.328 0.361
22443.2 0.333 0.367
22436.1 0.339 0.374
22432.5 0.362 0.399
22420.1 0.367 0.404
22401.0 0.368 0.406
22384.7 0.371 0.409
22379.6 0.375 0.413
22377.1 0.389 0.429
22334.6 0.407 0.449
22318.0 0.421 0.464
22307.9 0.422 0.465
22301.3 0.424 0.467
22292.6 0.432 0.476
22250.1 0.434 0.478
22242.5 0.441 0.486
22234.1 0.445 0.490
22217.5 0.451 0.497
22216.5 0.454 0.500
22211.2 0.458 0.505
22193.2 0.491 0.541
22153.8 0.498 0.549
22122.3 0.500 0.551
22120.8 0.521 0.574
22116.2 0.530 0.584
22106.9 0.540 0.595
22101.2 0.553 0.609
22101.1 0.555 0.612
22092.1 0.572 0.630
22080.5 0.576 0.635
22077.5 0.582 0.641
22072.6 0.583 0.642
22050.2 0.603 0.665
22040.4 0.618 0.681
22035.2 0.622 0.685
22030.9 0.664 0.732
22028.3 0.699 0.770
22027.9 0.709 0.781
22016.7 0.757 0.834
22015.6 0.759 0.836
22003.1 0.762 0.840
22001.0 0.799 0.880
21992.5 0.815 0.898
21965.6 0.820 0.904
21963.7 0.858 0.946
21958.8 0.911 1.004
21949.0 0.912 1.005
21946.8 0.920 1.014
21924.5 0.921 1.015
21922.5 0.948 1.045
21921.1 0.975 1.074
21917.0 1.080 1.190
21908.2 1.121 1.235
21895.0 1.141 1.257
21885.5 1.142 1.258
21882.8 1.200 1.322
21854.6 1.230 1.355
21851.6 1.284 1.415
21837.5 1.285 1.416
21837.1 1.341 1.478
21835.1 1.369 1.509
21832.2 1.694 1.867
21830.0 1.825 2.011
21800.9 1.826 2.012
21786.1 1.882 2.074
21786.0 1.885 2.077
21785.6 1.950 2.149
21785.5 2.001 2.205
21785.0 2.114 2.330
21778.6 2.161 2.381
21777.7 2.215 2.441
21777.4 2.302 2.537
21772.7 2.340 2.579
21760.3 2.682 2.956
21759.7 2.877 3.170
