12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C1_4_3
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 7622.890
BKS: 6929.9
Optimal: 1
Mon 14 Feb 2022 12:02:28 PM EST
timestamp: 1644858148
Solution value, local machine time, standardized time
7544.6 0.094 0.104
7511.2 0.095 0.105
7506.6 0.097 0.107
7497.6 0.101 0.111
7495.9 0.111 0.122
7495.2 0.115 0.127
7492.9 0.116 0.128
7486.0 0.120 0.132
7481.0 0.124 0.137
7480.3 0.130 0.143
7467.8 0.137 0.151
7466.2 0.155 0.171
7465.3 0.174 0.192
7458.6 0.189 0.208
7451.9 0.194 0.214
7449.3 0.205 0.226
7446.8 0.217 0.239
7445.4 0.225 0.248
7445.3 0.226 0.249
7441.2 0.247 0.272
7436.8 0.248 0.273
7433.2 0.253 0.279
7432.6 0.258 0.284
7426.8 0.261 0.288
7426.5 0.264 0.291
7425.9 0.270 0.298
7424.4 0.273 0.301
7420.8 0.274 0.302
7420.3 0.277 0.305
7419.7 0.282 0.311
7417.6 0.298 0.328
7407.8 0.305 0.336
7400.6 0.310 0.342
7397.9 0.334 0.368
7391.9 0.336 0.370
7389.8 0.341 0.376
7388.5 0.352 0.388
7384.3 0.422 0.465
7343.9 0.432 0.476
7321.5 0.433 0.477
7315.6 0.436 0.480
7287.6 0.483 0.532
7286.7 0.484 0.533
7286.3 0.491 0.541
7282.4 0.499 0.550
7282.2 0.512 0.564
7278.1 0.525 0.579
7277.8 0.540 0.595
7275.2 0.549 0.605
7273.2 0.588 0.648
7265.9 0.606 0.668
7261.4 0.641 0.706
7259.7 0.682 0.752
7259.3 0.685 0.755
7249.3 0.697 0.768
7249.0 0.698 0.769
7248.0 0.723 0.797
7247.8 0.729 0.803
7220.6 0.730 0.804
7216.3 0.737 0.812
7216.2 0.740 0.815
7190.3 0.751 0.828
7160.7 0.753 0.830
7152.5 0.776 0.855
7151.6 0.787 0.867
7149.9 0.789 0.869
7147.4 0.802 0.884
7142.8 0.833 0.918
7129.8 0.848 0.934
7128.9 0.850 0.937
7125.5 0.853 0.940
7083.7 0.858 0.946
7079.5 0.867 0.955
7077.2 0.879 0.969
7076.6 0.921 1.015
7074.2 0.947 1.044
7074.1 1.049 1.156
7072.4 1.102 1.214
7072.0 1.118 1.232
7037.4 1.158 1.276
7031.0 1.162 1.281
6999.6 1.163 1.282
6999.2 1.164 1.283
6994.7 1.166 1.285
6993.6 1.176 1.296
6988.1 1.225 1.350
6984.7 1.233 1.359
6983.5 1.241 1.368
6981.6 1.242 1.369
6981.1 1.263 1.392
6980.8 1.291 1.423
6976.4 1.301 1.434
6971.2 1.467 1.617
6970.6 1.468 1.618
6959.3 5.336 5.880
6956.4 20.633 22.738
6954.8 20.660 22.767
6953.1 23.903 26.341
6950.7 24.080 26.536
6950.5 24.084 26.541
6947.7 26.181 28.851
6946.2 27.085 29.848
6945.8 27.505 30.311
6945.7 28.075 30.939
6944.8 28.080 30.944
6944.7 29.910 32.961
6944.2 30.825 33.969
6943.5 30.843 33.989
6942.6 30.851 33.998
6935.7 32.980 36.344
6935.3 33.013 36.380
6934.9 34.263 37.758
6934.5 34.341 37.844
6933.8 57.136 62.964
6932.7 57.137 62.965
6932.4 195.353 215.279
6931.1 195.391 215.321
6930.7 195.416 215.348
6930.1 195.640 215.595
6929.9 213.985 235.811
Primal Integral: 0.0078049425
