12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R107
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1171.060
BKS: 1064.6
Optimal: 1
Wed 12 Jan 2022 01:12:55 AM CST
timestamp: 1641921175
Solution value, local machine time, standardized time
1161.9 0.005 0.005
1153.8 0.005 0.005
1152.2 0.005 0.005
1150.8 0.005 0.005
1149.8 0.005 0.005
1146.3 0.005 0.005
1145.8 0.005 0.005
1145.5 0.006 0.006
1143.5 0.006 0.006
1143.4 0.006 0.006
1141.3 0.006 0.006
1140.8 0.006 0.006
1138.3 0.006 0.006
1137.4 0.006 0.006
1137.2 0.006 0.006
1137.0 0.006 0.006
1135.1 0.006 0.006
1130.3 2.003 1.984
1125.6 2.003 1.984
1118.8 2.003 1.984
1118.0 2.003 1.984
1117.1 2.180 2.159
1116.7 2.192 2.171
1111.7 2.192 2.171
1109.9 2.193 2.172
1106.9 2.193 2.172
1104.4 2.194 2.173
1103.9 2.194 2.173
1103.8 2.228 2.207
1102.9 2.228 2.207
1100.5 2.228 2.207
1100.4 2.228 2.207
1100.0 2.229 2.208
1098.1 2.230 2.209
1097.3 2.307 2.285
1096.5 2.308 2.286
1094.6 2.312 2.290
1094.5 2.313 2.291
1093.2 2.321 2.299
1093.0 2.321 2.299
1090.8 2.365 2.343
1088.9 2.366 2.344
1087.1 2.371 2.348
1086.8 2.372 2.349
1083.3 2.376 2.353
1081.5 2.418 2.395
1080.3 2.423 2.400
1078.8 2.453 2.430
1077.9 2.679 2.654
1077.6 2.694 2.668
1077.4 2.712 2.686
1074.9 2.864 2.837
1074.7 3.865 3.828
1073.7 3.875 3.838
1072.0 3.911 3.874
1071.4 4.340 4.299
1070.7 4.391 4.349
1067.9 4.391 4.349
1066.8 4.391 4.349
1065.6 30.411 30.122
1065.0 80.357 79.594
1064.6 80.362 79.599
Primal Integral: 0.0147767706
