12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R202
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1132.560
BKS: 1029.6
Optimal: 1
Thu 13 Jan 2022 11:55:44 PM CST
timestamp: 1642089344
Solution value, local machine time, standardized time
1123.2 0.006 0.006
1120.7 0.007 0.007
1115.5 0.008 0.008
1110.7 0.008 0.008
1109.1 0.008 0.008
1108.6 0.008 0.008
1107.9 0.010 0.010
1107.6 0.010 0.010
1104.5 0.011 0.011
1100.7 0.012 0.012
1098.0 0.012 0.012
1095.2 0.016 0.016
1090.3 0.017 0.017
1088.7 0.020 0.020
1088.4 0.020 0.020
1085.0 0.029 0.029
1082.1 0.030 0.030
1081.6 0.030 0.030
1081.4 0.031 0.031
1080.8 0.031 0.031
1080.4 0.031 0.031
1079.2 0.039 0.039
1078.2 0.039 0.039
1075.9 0.040 0.040
1075.6 0.041 0.041
1074.8 0.041 0.041
1073.1 0.041 0.041
1072.7 0.100 0.099
1072.6 0.100 0.099
1071.7 0.103 0.102
1071.0 0.134 0.133
1068.5 0.134 0.133
1066.8 0.140 0.139
1051.2 0.148 0.147
1048.9 0.148 0.147
1047.2 0.156 0.155
1046.7 0.156 0.155
1045.8 0.523 0.518
1044.3 0.525 0.520
1044.2 0.533 0.528
1043.8 0.533 0.528
1042.0 0.552 0.547
1041.3 0.553 0.548
1039.8 0.554 0.549
1038.4 0.612 0.606
1036.9 0.612 0.606
1035.5 3.337 3.305
1035.1 3.338 3.306
1035.0 3.338 3.306
1033.6 3.345 3.313
1032.9 3.349 3.317
1031.8 16.890 16.730
1031.5 16.890 16.730
1030.6 17.001 16.839
1029.6 63.720 63.115
Primal Integral: 0.0067532192
