12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R208
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 771.100
BKS: 701.0
Optimal: 1
Thu 13 Jan 2022 11:55:50 PM CST
timestamp: 1642089350
Solution value, local machine time, standardized time
767.4 0.005 0.005
764.4 0.005 0.005
763.0 0.005 0.005
757.2 0.006 0.006
756.4 0.006 0.006
753.2 0.006 0.006
750.0 0.006 0.006
749.6 0.009 0.009
748.5 0.010 0.010
748.4 0.010 0.010
745.2 0.015 0.015
738.9 0.035 0.035
736.6 0.043 0.043
736.4 0.043 0.043
733.4 0.043 0.043
732.0 0.043 0.043
729.4 0.043 0.043
729.2 0.061 0.060
729.0 0.061 0.060
728.8 0.073 0.072
727.5 0.076 0.075
726.8 0.129 0.128
725.7 0.135 0.134
725.3 0.253 0.251
724.5 0.270 0.267
723.3 0.284 0.281
722.6 0.284 0.281
721.3 0.284 0.281
719.9 0.284 0.281
719.4 0.312 0.309
719.1 0.313 0.310
719.0 0.313 0.310
718.7 0.313 0.310
718.4 0.424 0.420
716.9 0.438 0.434
716.2 0.438 0.434
715.0 0.438 0.434
713.8 0.439 0.435
712.6 0.456 0.452
711.6 1.601 1.586
711.1 1.602 1.587
710.3 1.633 1.617
710.0 1.633 1.617
708.8 1.633 1.617
708.5 1.634 1.618
707.1 1.652 1.636
707.0 1.663 1.647
705.9 1.664 1.648
705.7 1.861 1.843
705.2 1.869 1.851
704.7 1.870 1.852
704.1 1.987 1.968
703.8 2.559 2.535
703.5 2.562 2.538
702.5 3.023 2.994
701.9 34.930 34.598
701.0 44.624 44.200
Primal Integral: 0.0067471549
