12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R209
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 940.280
BKS: 854.8
Optimal: 1
Thu 13 Jan 2022 11:55:51 PM CST
timestamp: 1642089351
Solution value, local machine time, standardized time
937.5 0.014 0.014
937.0 0.014 0.014
936.2 0.018 0.018
935.7 0.019 0.019
935.2 0.019 0.019
934.5 0.019 0.019
931.4 0.029 0.029
925.5 0.029 0.029
924.1 0.035 0.035
919.7 0.035 0.035
919.6 0.035 0.035
919.3 0.036 0.036
918.1 0.036 0.036
917.9 0.039 0.039
916.5 0.065 0.064
916.1 0.065 0.064
915.4 0.082 0.081
913.4 0.082 0.081
912.2 0.082 0.081
911.5 0.082 0.081
911.4 0.082 0.081
907.8 0.111 0.110
906.9 0.112 0.111
906.7 0.112 0.111
906.2 0.113 0.112
905.9 0.132 0.131
900.7 0.132 0.131
899.5 0.132 0.131
898.0 0.143 0.142
893.3 0.163 0.161
892.8 0.164 0.162
892.3 0.164 0.162
887.5 0.164 0.162
885.7 0.191 0.189
885.2 0.191 0.189
881.6 0.191 0.189
877.1 0.654 0.648
875.2 0.654 0.648
874.7 0.665 0.659
874.5 0.665 0.659
873.9 0.665 0.659
873.3 0.669 0.663
870.8 0.670 0.664
870.4 0.733 0.726
870.1 0.734 0.727
869.4 0.734 0.727
868.9 0.740 0.733
868.5 0.831 0.823
867.9 1.070 1.060
867.5 1.071 1.061
865.5 1.268 1.256
863.9 1.289 1.277
863.0 1.296 1.284
861.6 1.621 1.606
856.1 1.621 1.606
855.6 1.657 1.641
854.8 3.123 3.093
Primal Integral: 0.0023082930
