12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R107
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1171.060
BKS: 1064.6
Optimal: 1
Fri 14 Jan 2022 09:44:14 PM CST
timestamp: 1642167854
Solution value, local machine time, standardized time
1169.3 0.008 0.008
1166.8 0.008 0.008
1165.0 0.008 0.008
1164.2 0.008 0.008
1163.5 0.008 0.008
1155.9 0.008 0.008
1155.6 0.009 0.009
1154.4 0.009 0.009
1154.3 0.009 0.009
1154.0 0.009 0.009
1153.4 0.009 0.009
1149.1 0.009 0.009
1149.0 0.009 0.009
1148.7 0.009 0.009
1147.2 0.010 0.010
1146.5 0.010 0.010
1142.0 0.011 0.011
1141.6 0.012 0.012
1141.4 0.019 0.019
1141.1 0.019 0.019
1135.3 0.020 0.020
1134.8 0.022 0.022
1134.5 0.022 0.022
1131.7 0.023 0.023
1130.7 0.023 0.023
1128.7 0.024 0.024
1127.7 0.024 0.024
1127.4 0.024 0.024
1126.7 0.024 0.024
1125.0 0.024 0.024
1124.9 0.024 0.024
1122.0 0.024 0.024
1119.6 0.024 0.024
1118.9 0.038 0.038
1117.7 0.038 0.038
1115.3 0.039 0.039
1113.8 0.064 0.063
1112.9 0.064 0.063
1112.8 0.070 0.069
1112.4 0.070 0.069
1110.6 0.075 0.074
1109.7 0.103 0.102
1107.5 0.104 0.103
1107.4 0.118 0.117
1098.5 0.127 0.126
1092.6 0.150 0.149
1092.2 0.150 0.149
1089.0 0.282 0.279
1088.7 0.284 0.281
1088.6 0.284 0.281
1087.0 0.544 0.539
1083.8 0.637 0.631
1083.6 0.920 0.911
1081.6 0.926 0.917
1081.0 0.952 0.943
1080.9 1.026 1.016
1076.5 1.026 1.016
1075.2 1.035 1.025
1075.0 1.035 1.025
1074.6 1.035 1.025
1073.8 1.035 1.025
1073.1 1.361 1.348
1073.0 1.361 1.348
1072.3 1.390 1.377
1071.6 1.408 1.395
1069.9 1.411 1.398
1067.8 1.702 1.686
1067.3 1.702 1.686
1066.4 10.292 10.194
1066.0 18.349 18.175
1065.6 18.417 18.242
1064.6 26.995 26.739
Primal Integral: 0.0040548291
