12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R106
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1358.060
BKS: 1234.6
Optimal: 1
Fri 14 Jan 2022 09:44:13 PM CST
timestamp: 1642167853
Solution value, local machine time, standardized time
1356.7 0.013 0.013
1352.6 0.018 0.018
1351.4 0.018 0.018
1349.2 0.018 0.018
1347.6 0.018 0.018
1346.4 0.019 0.019
1328.6 0.019 0.019
1327.9 0.027 0.027
1325.5 0.027 0.027
1324.0 0.027 0.027
1316.1 0.027 0.027
1316.0 0.027 0.027
1315.8 0.027 0.027
1312.1 0.028 0.028
1304.9 0.029 0.029
1303.9 0.031 0.031
1303.3 0.033 0.033
1303.2 0.035 0.035
1292.9 0.044 0.044
1292.3 0.044 0.044
1291.4 0.044 0.044
1290.9 0.045 0.045
1289.6 0.051 0.051
1286.4 0.051 0.051
1286.3 0.051 0.051
1286.2 0.052 0.052
1285.9 0.058 0.057
1285.6 0.058 0.057
1285.4 0.058 0.057
1285.1 0.058 0.057
1285.0 0.069 0.068
1281.4 0.069 0.068
1278.0 0.073 0.072
1277.4 0.076 0.075
1276.6 0.083 0.082
1274.7 0.083 0.082
1274.5 0.083 0.082
1273.7 0.086 0.085
1273.6 0.086 0.085
1269.4 0.087 0.086
1266.8 0.087 0.086
1255.8 0.087 0.086
1253.9 0.087 0.086
1253.3 0.087 0.086
1252.8 0.100 0.099
1251.9 0.121 0.120
1251.8 0.328 0.325
1251.7 0.329 0.326
1248.3 0.356 0.353
1247.1 0.366 0.363
1247.0 0.377 0.373
1246.8 0.392 0.388
1246.0 0.392 0.388
1244.4 0.393 0.389
1244.3 0.394 0.390
1243.1 0.424 0.420
1240.6 0.440 0.436
1240.4 0.454 0.450
1237.3 1.150 1.139
1237.0 1.151 1.140
1235.8 5.303 5.253
1235.7 16.214 16.060
1235.6 16.231 16.077
1234.6 16.231 16.077
Primal Integral: 0.0017458097
