12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R202
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1132.560
BKS: 1029.6
Optimal: 1
Fri 14 Jan 2022 09:44:21 PM CST
timestamp: 1642167861
Solution value, local machine time, standardized time
1128.7 0.009 0.009
1127.5 0.009 0.009
1125.2 0.013 0.013
1121.7 0.032 0.032
1121.6 0.032 0.032
1120.5 0.032 0.032
1119.2 0.032 0.032
1119.1 0.032 0.032
1116.5 0.032 0.032
1110.7 0.046 0.046
1108.2 0.046 0.046
1106.7 0.046 0.046
1103.8 0.046 0.046
1103.4 0.046 0.046
1103.1 0.047 0.047
1103.0 0.047 0.047
1100.5 0.048 0.048
1099.1 0.064 0.063
1098.1 0.064 0.063
1096.1 0.064 0.063
1095.6 0.064 0.063
1094.9 0.064 0.063
1091.9 0.065 0.064
1089.5 0.065 0.064
1088.2 0.065 0.064
1087.5 0.079 0.078
1081.3 0.139 0.138
1079.9 0.139 0.138
1077.7 0.139 0.138
1076.1 0.140 0.139
1074.2 0.140 0.139
1068.7 0.141 0.140
1067.4 0.141 0.140
1065.7 0.141 0.140
1064.0 0.141 0.140
1061.6 0.142 0.141
1058.0 0.143 0.142
1057.7 0.143 0.142
1057.1 0.185 0.183
1056.7 0.283 0.280
1054.9 0.303 0.300
1052.7 0.304 0.301
1050.7 0.304 0.301
1048.2 0.315 0.312
1048.0 0.334 0.331
1046.9 0.334 0.331
1046.3 0.335 0.332
1045.7 0.335 0.332
1042.5 0.335 0.332
1042.4 0.335 0.332
1041.7 0.417 0.413
1040.1 0.459 0.455
1039.7 0.459 0.455
1038.5 0.757 0.750
1038.4 0.765 0.758
1038.1 0.847 0.839
1037.7 0.847 0.839
1035.4 5.813 5.758
1035.0 6.307 6.247
1034.9 6.388 6.327
1034.3 10.178 10.081
1033.7 10.179 10.082
1032.2 10.180 10.083
1030.7 41.029 40.639
1030.1 45.192 44.763
1029.6 45.226 44.796
Primal Integral: 0.0090323394
