12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R112
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1043.790
BKS: 948.9
Optimal: 1
Fri 14 Jan 2022 09:44:19 PM CST
timestamp: 1642167859
Solution value, local machine time, standardized time
1041.3 0.010 0.010
1040.8 0.010 0.010
1038.6 0.010 0.010
1035.8 0.011 0.011
1034.4 0.011 0.011
1031.8 0.011 0.011
1031.0 0.014 0.014
1029.5 0.016 0.016
1029.2 0.016 0.016
1028.3 0.024 0.024
1024.2 0.036 0.036
1018.9 0.039 0.039
1016.3 0.040 0.040
1011.3 0.040 0.040
1011.1 0.040 0.040
1010.9 0.043 0.043
1009.7 0.044 0.044
1007.3 0.044 0.044
1005.3 0.044 0.044
1003.0 0.044 0.044
1000.9 0.053 0.052
999.3 0.060 0.059
997.4 0.069 0.068
992.8 0.071 0.070
990.5 0.081 0.080
989.0 0.093 0.092
988.9 0.095 0.094
988.2 0.105 0.104
988.0 0.105 0.104
987.4 0.106 0.105
987.3 0.112 0.111
983.8 0.113 0.112
981.3 0.115 0.114
980.7 0.115 0.114
980.0 0.152 0.151
978.8 0.152 0.151
974.7 0.156 0.155
974.5 0.165 0.163
970.9 0.165 0.163
968.1 0.302 0.299
967.5 0.333 0.330
966.5 0.333 0.330
964.4 0.504 0.499
963.6 0.504 0.499
962.8 2.723 2.697
962.7 2.827 2.800
961.6 2.839 2.812
960.2 3.139 3.109
959.2 3.139 3.109
958.2 3.570 3.536
956.1 3.570 3.536
953.6 3.911 3.874
952.7 3.912 3.875
951.6 3.919 3.882
950.7 3.921 3.884
950.4 3.950 3.912
948.6 289.768 287.015
Primal Integral: 0.0017656175
