1,C101,8273,0.001058465,0.267,0,8273,7.17E-05,0.017,1,8273,7.78E-05,0.014,2,8273,3.89E-05,0.008,3,8273,0.000124659,0.055,4,8273,0.000086419,0.018,5,8273,9.12E-05,0.018,6,8273,8.95E-05,0.018,7,8273,0.000177054,0.035,8,8273,9.44E-05,0.018,9,8273,0.00010759,0.02,10,8273,9.22E-05,0.019,11,3,3.89E-05
2,C102,8273,0.000765295,0.377,0,8273,0.000119542,0.043,1,8273,0.000112267,0.029,2,8273,7.73E-05,0.017,3,8473,2.417549642,0.253,4,8273,0.000126197,0.065,5,8273,0.00010285,0.022,6,8273,0.000108818,0.021,7,8273,0.000115301,0.023,8,8273,8.63E-05,0.018,9,8273,6.11E-05,0.011,10,8273,5.56E-05,0.01,11,11,5.56E-05
3,C103,8263,0.002468941,0.494,0,8263,0.000764886,0.228,1,8263,0.000220474,0.071,2,8263,0.000173864,0.061,3,8263,0.006262944,2.244,4,8263,0.000229035,0.098,5,8263,0.000233126,0.05,6,8263,0.000117748,0.033,7,8263,0.000109767,0.028,8,8263,0.00019054,0.054,9,8263,0.000153793,0.037,10,8263,0.000353724,0.082,11,8,0.000109767
4,C104,8229,0.001137722,0.651,0,8229,0.000884625,0.355,1,8229,0.000318734,0.083,2,8229,0.000133114,0.104,3,8229,0.002783834,1.509,4,8229,0.000452817,0.089,5,8229,0.000291962,0.079,6,8229,0.000347397,0.115,7,8229,0.000197224,0.065,8,8229,0.000184902,0.067,9,8229,0.000266072,0.119,10,8229,0.000171636,0.056,11,3,0.000133114
5,C105,8273,0.000598735,0.284,0,8273,5.05E-05,0.014,1,8273,5.58E-05,0.017,2,8273,9.64E-05,0.021,3,8273,0.000233157,0.139,4,8273,0.00010013,0.023,5,8273,6.80E-05,0.013,6,8273,5.43E-05,0.017,7,8273,5.76E-05,0.011,8,8273,0.000110663,0.025,9,8273,0.000078217,0.016,10,8273,6.84E-05,0.013,11,1,5.05E-05
6,C106,8273,0.000580244,0.27,0,8273,0.000169589,0.039,1,8273,9.08E-05,0.017,2,8273,8.17E-05,0.015,3,8475,2.441721271,0.014,4,8273,9.40E-05,0.019,5,8273,0.000103492,0.038,6,8273,5.91E-05,0.012,7,8273,0.000183155,0.035,8,8273,7.67E-05,0.015,9,8273,9.95E-05,0.02,10,8273,0.000101637,0.025,11,7,5.91E-05
7,C107,8273,0.000595495,0.3,0,8273,0.00049293,0.136,1,8273,7.83E-05,0.017,2,8273,6.51E-05,0.016,3,8273,4.17E-05,0.008,4,8273,7.72E-05,0.019,5,8273,8.05E-05,0.016,6,8273,5.94E-05,0.015,7,8273,9.18E-05,0.027,8,8273,9.50E-05,0.019,9,8273,5.31E-05,0.018,10,8273,0.000172119,0.037,11,4,4.17E-05
8,C108,8273,0.001384852,0.41,0,8273,0.00058398,0.197,1,8273,0.000210792,0.049,2,8273,9.75E-05,0.024,3,8594,3.880579927,0.263,4,8273,8.63E-05,0.02,5,8273,7.87E-05,0.019,6,8273,6.69E-05,0.025,7,8273,0.000140161,0.028,8,8273,0.000112784,0.024,9,8273,0.000160966,0.03,10,8273,0.000264217,0.059,11,7,6.69E-05
9,C109,8273,0.000923332,0.42,0,8273,4.72E-05,0.015,1,8273,0.000164052,0.048,2,8273,0.000103731,0.023,3,8273,0.000253527,0.161,4,8273,8.00E-05,0.017,5,8273,0.000173686,0.052,6,8273,9.96E-05,0.021,7,8273,0.000126039,0.024,8,8273,0.0001311,0.027,9,8273,0.000180453,0.034,10,8273,0.000133329,0.028,11,1,4.72E-05
10,C201,5891,0.000415275,0.191,0,5891,2.22E-05,0.004,1,5891,7.36E-05,0.02,2,5891,5.45E-05,0.014,3,6054,2.766973847,0.035,4,5891,0.000150944,0.043,5,5891,7.21E-05,0.014,6,5891,0.00005,0.009,7,5891,7.74E-05,0.014,8,5891,4.98E-05,0.009,9,5891,7.51E-05,0.014,10,5891,7.54E-05,0.014,11,1,2.22E-05
11,C202,5891,0.001215974,0.389,0,5891,0.000232756,0.074,1,5891,0.000136163,0.025,2,5891,7.77E-05,0.019,3,6054,2.767129783,0.083,4,5891,0.000151409,0.038,5,5891,9.12E-05,0.017,6,5891,6.11E-05,0.012,7,5891,0.000156581,0.031,8,5891,7.00E-05,0.013,9,5891,0.000127531,0.025,10,5891,0.000121834,0.023,11,7,6.11E-05
12,C203,5887,0.001016547,0.837,0,5887,0.001000021,1.087,1,5887,0.000181128,0.056,2,5887,0.000380111,0.258,3,6023,2.310307548,0.041,4,5887,0.00170773,1.695,5,5887,0.000439889,0.239,6,5887,0.00057686,0.542,7,5887,0.000645259,0.435,8,5887,0.000167014,0.053,9,5887,0.000184079,0.136,10,5887,0.000278253,0.124,11,9,0.000167014
13,C204,5881,0.002602502,1.105,0,5881,0.001566697,2.047,1,5881,0.008008275,22.011,2,5881,0.000638619,0.565,3,5881,0.006805967,7.098,4,5881,0.001774787,2.642,5,5881,0.020769736,36.677,6,5881,0.000430659,0.692,7,5881,0.00051952,0.535,8,5881,0.000487026,0.234,9,5881,0.000248188,0.218,10,5881,0.000372981,0.171,11,10,0.000248188
14,C205,5864,0.000688898,0.408,0,5864,4.95E-05,0.013,1,5864,0.000128608,0.024,2,5864,0.000146459,0.046,3,6027,2.77971348,0.034,4,5864,0.000118518,0.03,5,5864,0.000115793,0.039,6,5864,9.84E-05,0.03,7,5864,0.000194615,0.058,8,5864,0.000110164,0.026,9,5864,6.67E-05,0.012,10,5864,0.00022892,0.078,11,1,4.95E-05
