C1_6_15

VEHICLE
NUMBER     CAPACITY
150	200

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE TIME

0		150		150		0		0		1496		0		
1		87		121		10		217		265		90		
2		83		186		10		405		457		90		
3		218		98		20		952		1026		90		
4		232		198		10		399		483		90		
5		94		205		20		468		509		90		
6		221		83		30		628		668		90		
7		119		183		30		884		954		90		
8		76		52		30		1144		1205		90		
9		237		168		20		190		232		90		
10		222		141		40		82		158		90		
11		58		178		20		473		508		90		
12		110		208		10		646		724		90		
13		180		14		30		1195		1235		90		
14		51		153		30		101		146		90		
15		98		257		40		982		1015		90		
16		224		23		20		618		665		90		
17		247		55		40		1092		1134		90		
18		291		226		30		315		404		90		
19		137		92		10		358		438		90		
20		8		77		20		1065		1128		90		
21		89		22		20		222		282		90		
22		258		122		30		212		246		90		
23		115		17		40		927		1016		90		
24		260		81		20		179		245		90		
25		86		242		40		285		369		90		
26		73		148		10		988		1071		90		
27		196		274		30		285		356		90		
28		221		33		20		509		545		90		
29		95		98		20		940		1005		90		
30		42		46		40		477		516		90		
31		8		27		30		493		578		90		
32		100		168		40		302		368		90		
33		41		129		20		597		632		90		
34		58		177		20		911		942		90		
35		279		290		10		542		580		90		
36		99		286		40		402		437		90		
37		294		284		20		519		591		90		
38		102		29		10		753		818		90		
39		119		188		10		229		295		90		
40		17		125		20		341		424		90		
41		65		98		40		153		234		90		
42		293		113		20		418		487		90		
43		298		226		40		1073		1121		90		
44		126		118		40		851		931		90		
45		21		104		30		902		972		90		
46		185		197		40		146		219		90		
47		36		280		20		237		320		90		
48		102		31		40		1019		1070		90		
49		239		238		10		331		420		90		
50		212		110		20		119		186		90		
51		30		208		30		1120		1201		90		
52		190		12		10		546		603		90		
53		173		56		10		267		339		90		
54		4		61		30		561		637		90		
55		56		164		40		644		686		90		
56		226		7		20		459		518		90		
57		136		6		30		767		816		90		
58		123		50		20		147		232		90		
59		238		185		10		1095		1167		90		
60		230		165		20		1270		1316		90		
61		197		275		10		951		1022		90		
62		125		188		10		1208		1262		90		
63		113		14		40		902		978		90		
64		101		33		10		601		674		90		
65		52		147		40		1137		1205		90		
66		91		161		40		1012		1083		90		
67		134		124		30		997		1088		90		
68		94		106		20		487		564		90		
69		137		13		20		1015		1052		90		
70		117		22		10		787		872		90		
71		85		123		30		138		194		90		
72		212		88		10		919		957		90		
73		189		197		40		373		421		90		
74		258		90		40		145		202		90		
75		220		89		30		824		856		90		
76		107		167		10		603		665		90		
77		93		205		30		442		478		90		
78		77		60		40		1030		1092		90		
79		32		53		30		466		551		90		
80		216		31		10		911		971		90		
81		292		229		30		1016		1083		90		
82		19		122		10		329		392		90		
83		16		80		30		522		599		90		
84		53		161		10		1028		1096		90		
85		232		185		20		652		715		90		
86		11		26		30		714		758		90		
87		125		115		30		220		288		90		
88		97		214		20		679		717		90		
89		211		100		40		477		549		90		
90		229		162		30		619		679		90		
91		95		12		40		237		279		90		
92		86		112		30		686		751		90		
93		196		10		40		695		735		90		
94		90		173		10		100		191		90		
95		181		6		10		1044		1123		90		
96		283		299		10		903		948		90		
97		108		176		40		928		983		90		
98		257		124		20		1138		1219		90		
99		89		206		20		801		847		90		
100		230		6		10		668		742		90		
101		12		33		20		792		836		90		
102		92		258		10		703		767		90		
103		261		127		40		1056		1120		90		
104		184		7		10		433		506		90		
105		38		40		10		817		874		90		
106		64		162		30		956		1018		90		
107		236		171		40		225		305		90		
108		256		130		10		282		322		90		
109		48		169		30		406		468		90		
110		131		118		30		476		517		90		
111		235		239		20		686		749		90		
112		239		247		10		375		414		90		
113		88		104		30		1114		1161		90		
114		37		211		40		133		187		90		
115		100		24		10		671		744		90		
116		41		122		10		820		898		90		
117		59		91		20		496		529		90		
118		250		80		10		337		423		90		
119		104		200		30		604		682		90		
120		188		275		10		1020		1058		90		
121		185		11		40		317		378		90		
122		183		198		30		125		192		90		
123		55		160		30		871		930		90		
124		20		217		40		797		863		90		
125		217		133		30		966		1008		90		
126		219		32		30		766		855		90		
127		39		271		20		626		717		90		
128		114		22		40		354		414		90		
129		100		292		10		177		225		90		
130		43		40		40		154		233		90		
131		115		51		40		536		597		90		
132		118		126		20		1246		1325		90		
133		287		289		20		838		899		90		
134		51		155		20		684		721		90		
135		233		188		30		643		728		90		
136		197		280		20		971		1011		90		
137		215		99		30		656		693		90		
138		51		144		40		803		842		90		
139		224		17		10		1040		1129		90		
140		120		54		30		587		658		90		
141		62		98		30		606		655		90		
142		37		53		30		341		408		90		
143		226		143		20		516		574		90		
144		30		288		40		395		456		90		
145		79		45		10		310		383		90		
146		125		113		10		1153		1220		90		
147		97		21		10		790		868		90		
148		17		17		20		389		458		90		
149		1		55		40		1077		1125		90		
150		292		234		10		664		715		90		
151		90		171		20		254		327		90		
152		121		40		40		270		310		90		
153		215		88		30		749		824		90		
154		186		271		10		826		911		90		
155		140		97		10		771		846		90		
156		75		57		10		1080		1143		90		
157		294		110		10		1083		1165		90		
158		296		116		30		302		372		90		
159		189		187		40		480		536		90		
160		75		53		10		1048		1116		90		
161		55		166		20		1135		1199		90		
162		27		207		40		460		542		90		
163		101		277		20		1138		1207		90		
164		143		0		10		636		671		90		
165		268		77		40		755		791		90		
166		206		101		20		901		980		90		
167		108		177		30		445		486		90		
168		226		170		20		1197		1265		90		
169		135		5		20		292		337		90		
170		127		176		10		251		322		90		
171		227		204		30		467		545		90		
172		299		278		20		643		734		90		
173		184		12		40		838		908		90		
174		196		13		40		229		281		90		
175		283		110		30		1045		1125		90		
176		86		188		30		347		393		90		
177		80		127		40		956		1035		90		
178		212		115		10		1124		1185		90		
179		111		215		20		553		617		90		
180		134		127		10		294		382		90		
181		183		13		10		859		909		90		
182		228		32		30		995		1042		90		
183		122		18		20		1108		1154		90		
184		88		127		30		1072		1146		90		
185		76		240		30		434		481		90		
186		116		213		20		1099		1137		90		
187		181		16		10		777		863		90		
188		211		106		30		371		462		90		
189		194		283		10		156		239		90		
190		57		100		40		980		1070		90		
191		63		183		10		147		194		90		
192		111		202		40		374		419		90		
193		294		291		40		1012		1089		90		
194		104		290		20		900		964		90		
