12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_2_8
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 3366.000
BKS: 3060.0
Optimal: 1
Sat 12 Feb 2022 07:53:06 AM CST
timestamp: 1644623586
Solution value, local machine time, standardized time
3333.0 0.064 0.063
3304.2 0.069 0.068
3292.5 0.070 0.069
3289.8 0.073 0.072
3282.3 0.074 0.073
3278.0 0.076 0.075
3268.8 0.077 0.076
3266.5 0.086 0.085
3263.7 0.102 0.101
3258.1 0.105 0.104
3257.1 0.108 0.107
3254.4 0.124 0.123
3252.8 0.239 0.237
3252.5 0.248 0.246
3238.5 0.262 0.260
3237.2 0.273 0.270
3230.0 0.297 0.294
3227.7 0.304 0.301
3226.7 0.305 0.302
3226.6 0.360 0.357
3221.1 0.365 0.362
3220.5 0.375 0.371
3219.1 0.378 0.374
3217.1 0.405 0.401
3215.4 0.434 0.430
3213.9 0.437 0.433
3211.5 0.459 0.455
3211.0 0.512 0.507
3210.8 0.544 0.539
3204.0 0.550 0.545
3202.7 0.551 0.546
3202.2 0.555 0.550
3201.9 0.589 0.583
3198.7 0.995 0.986
3189.2 1.087 1.077
3186.6 1.214 1.202
3183.9 1.296 1.284
3180.9 1.324 1.311
3180.2 1.346 1.333
3176.0 1.436 1.422
3170.3 1.689 1.673
3169.5 1.956 1.937
3167.0 4.483 4.440
3162.1 4.496 4.453
3162.0 5.321 5.270
3161.9 5.326 5.275
3161.2 5.336 5.285
3160.3 5.372 5.321
3157.6 5.381 5.330
3156.7 5.387 5.336
3156.6 5.443 5.391
3156.3 5.459 5.407
3155.4 5.473 5.421
3155.2 5.588 5.535
3153.6 5.681 5.627
3153.2 5.786 5.731
3151.8 5.830 5.775
3151.5 5.870 5.814
3149.0 5.882 5.826
3147.8 5.911 5.855
3147.4 5.965 5.908
3146.3 5.987 5.930
3145.2 6.100 6.042
3137.5 6.202 6.143
3137.2 6.269 6.209
3136.8 6.270 6.210
3136.4 6.343 6.283
3136.3 6.373 6.312
3136.0 6.470 6.409
3130.5 6.928 6.862
3130.1 7.001 6.934
3130.0 7.170 7.102
3128.0 7.194 7.126
3127.4 7.701 7.628
3127.2 8.095 8.018
3124.2 8.212 8.134
3122.9 8.318 8.239
3118.7 8.328 8.249
3118.5 8.421 8.341
3110.9 19.321 19.137
3110.5 19.357 19.173
3107.0 95.213 94.308
3106.4 95.247 94.342
3105.2 95.296 94.391
3102.1 95.306 94.401
3101.3 95.308 94.403
3098.9 95.332 94.426
3097.7 95.489 94.582
3096.8 97.434 96.508
3095.7 99.008 98.067
3093.7 101.001 100.041
3088.4 101.006 100.046
3088.3 102.026 101.057
3087.0 102.093 101.123
3085.1 105.968 104.961
3071.2 113.667 112.587
3071.0 183.482 181.739
3060.0 374.914 371.352
Primal Integral: 0.1579569172
