12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_4_4
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 7995.900
BKS: 7269.0
Optimal: 0
Thu 10 Feb 2022 08:09:33 AM EST
timestamp: 1644498573
Solution value, local machine time, standardized time
7990.0 0.064 0.071
7970.1 0.065 0.072
7935.1 0.067 0.074
7919.0 0.068 0.075
7904.0 0.072 0.079
7890.5 0.079 0.087
7846.8 0.081 0.089
7838.0 0.082 0.090
7833.1 0.084 0.093
7824.3 0.085 0.094
7813.9 0.089 0.098
7784.0 0.091 0.100
7761.7 0.107 0.118
7751.6 0.108 0.119
7750.4 0.113 0.125
7745.3 0.160 0.176
7719.5 0.176 0.194
7715.9 0.214 0.236
7715.6 0.231 0.255
7713.4 0.247 0.272
7710.7 0.251 0.277
7710.5 0.252 0.278
7709.2 0.255 0.281
7707.3 0.256 0.282
7690.1 0.262 0.289
7688.4 0.263 0.290
7687.5 0.264 0.291
7682.7 0.265 0.292
7681.8 0.274 0.302
7680.7 0.281 0.310
7680.4 0.295 0.325
7678.9 0.301 0.332
7678.1 0.302 0.333
7676.6 0.311 0.343
7672.9 0.327 0.360
7672.1 0.337 0.371
7668.3 0.338 0.372
7668.1 0.353 0.389
7660.8 0.414 0.456
7655.6 0.460 0.507
7655.2 0.464 0.511
7653.7 0.466 0.514
7649.9 0.467 0.515
7641.1 0.475 0.523
7640.0 0.485 0.534
7621.8 0.490 0.540
7621.1 0.493 0.543
7619.4 0.502 0.553
7617.8 0.529 0.583
7616.4 0.530 0.584
7616.1 0.536 0.591
7614.6 0.538 0.593
7613.9 0.548 0.604
7612.7 0.549 0.605
7602.0 0.563 0.620
7601.1 0.602 0.663
7599.5 0.610 0.672
7594.5 0.663 0.731
7591.8 0.681 0.750
7588.0 0.701 0.773
7587.4 0.711 0.784
7582.8 0.716 0.789
7582.5 0.717 0.790
7578.8 0.727 0.801
7572.4 0.751 0.828
7572.2 0.756 0.833
7565.7 0.782 0.862
7556.3 0.785 0.865
7555.7 0.786 0.866
7553.4 0.817 0.900
7549.6 0.822 0.906
7546.1 0.823 0.907
7541.2 0.834 0.919
7540.3 0.843 0.929
7528.6 0.853 0.940
7526.6 0.880 0.970
7526.5 0.886 0.976
7525.9 0.897 0.988
7525.8 0.957 1.055
7525.4 0.958 1.056
7518.3 0.972 1.071
7518.2 0.974 1.073
7512.0 0.987 1.088
7510.5 1.039 1.145
7510.3 1.054 1.162
7508.0 1.105 1.218
7506.2 1.111 1.224
7505.3 1.170 1.289
7504.6 1.181 1.301
7494.7 1.182 1.303
7492.8 1.352 1.490
7492.5 1.396 1.538
7491.8 1.492 1.644
7489.6 1.513 1.667
7485.4 1.580 1.741
7484.8 1.604 1.768
7480.2 1.610 1.774
7479.7 1.611 1.775
7478.9 1.630 1.796
7478.6 1.680 1.851
7478.5 1.685 1.857
7473.9 7.372 8.124
7473.8 7.377 8.129
7473.2 7.392 8.146
7467.7 7.478 8.241
7466.2 7.494 8.258
7465.6 7.497 8.262
7462.7 7.517 8.284
7462.3 7.524 8.291
7461.3 7.548 8.318
7445.1 34.246 37.739
7439.0 34.510 38.030
7438.2 35.123 38.706
7433.9 35.147 38.732
7433.6 36.694 40.437
7427.4 36.711 40.456
7427.1 39.529 43.561
