12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_4_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 9764.040
BKS: 8876.4
Optimal: 0
Thu 10 Feb 2022 06:20:39 AM EST
timestamp: 1644492039
Solution value, local machine time, standardized time
9751.8 0.072 0.079
9713.0 0.073 0.080
9685.2 0.074 0.082
9669.1 0.076 0.084
9630.2 0.078 0.086
9629.0 0.079 0.087
9622.0 0.080 0.088
9587.5 0.086 0.095
9586.6 0.087 0.096
9583.7 0.088 0.097
9552.2 0.089 0.098
9539.2 0.096 0.106
9539.1 0.097 0.107
9519.7 0.099 0.109
9509.2 0.100 0.110
9501.8 0.104 0.115
9486.9 0.107 0.118
9480.3 0.108 0.119
9476.1 0.111 0.122
9439.4 0.122 0.134
9438.8 0.126 0.139
9434.3 0.130 0.143
9432.3 0.132 0.145
9428.8 0.134 0.148
9428.0 0.135 0.149
9426.3 0.139 0.153
9425.8 0.141 0.155
9406.3 0.151 0.166
9398.8 0.158 0.174
9347.0 0.161 0.177
9327.2 0.163 0.180
9323.5 0.175 0.193
9323.1 0.181 0.199
9316.6 0.183 0.202
9312.4 0.184 0.203
9311.1 0.191 0.210
9308.8 0.201 0.222
9289.9 0.210 0.231
9287.8 0.217 0.239
9286.6 0.219 0.241
9283.1 0.220 0.242
9281.6 0.233 0.257
9280.2 0.245 0.270
9278.7 0.248 0.273
9278.6 0.256 0.282
9278.3 0.258 0.284
9275.1 0.266 0.293
9273.4 0.272 0.300
9273.2 0.281 0.310
9262.6 0.282 0.311
9260.7 0.283 0.312
9260.4 0.286 0.315
9256.9 0.292 0.322
9256.6 0.301 0.332
9252.5 0.302 0.333
9246.4 0.337 0.371
9245.0 0.358 0.395
9236.1 0.376 0.414
9211.1 0.379 0.418
9206.2 0.392 0.432
9205.8 0.393 0.433
9205.6 0.406 0.447
9204.2 0.407 0.449
9199.1 0.408 0.450
9198.9 0.410 0.452
9198.8 0.418 0.461
9194.5 0.428 0.472
9194.2 0.429 0.473
9189.3 0.437 0.482
9184.7 0.447 0.493
9184.2 0.454 0.500
9173.5 0.512 0.564
9170.8 0.514 0.566
9168.6 0.519 0.572
9163.3 0.525 0.579
9162.9 0.541 0.596
9161.5 0.542 0.597
9152.9 0.543 0.598
9151.0 0.546 0.602
9150.9 0.550 0.606
9149.8 0.552 0.608
9127.8 0.579 0.638
9127.1 0.583 0.642
9126.6 0.592 0.652
9124.0 0.648 0.714
9122.3 0.678 0.747
9114.9 0.707 0.779
9108.4 0.759 0.836
9106.3 0.760 0.838
9104.4 0.773 0.852
9103.4 0.833 0.918
9099.0 0.860 0.948
9090.6 0.920 1.014
9087.8 1.203 1.326
9084.5 1.544 1.701
9084.2 1.758 1.937
9077.6 5.065 5.582
9068.1 5.066 5.583
9061.1 5.119 5.641
9060.6 5.128 5.651
9057.2 5.135 5.659
9051.7 5.164 5.691
9049.1 5.192 5.722
9044.6 5.216 5.748
9044.1 5.222 5.755
9043.6 5.223 5.756
9037.4 5.265 5.802
9033.6 5.468 6.026
9028.5 5.489 6.049
9025.0 17.991 19.826
9024.6 18.263 20.126
9023.0 18.556 20.449
9022.0 18.557 20.450
9009.0 19.135 21.087
9008.5 19.136 21.088
9000.5 19.218 21.178
9000.1 19.552 21.546
