12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_4_8
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 7981.380
BKS: 7255.8
Optimal: 0
Thu 10 Feb 2022 11:47:22 AM EST
timestamp: 1644511642
Solution value, local machine time, standardized time
7948.2 0.098 0.108
7915.3 0.109 0.120
7907.3 0.112 0.123
7906.9 0.125 0.138
7900.9 0.132 0.145
7896.3 0.133 0.147
7895.4 0.136 0.150
7885.3 0.137 0.151
7879.3 0.142 0.156
7864.0 0.143 0.158
7852.9 0.146 0.161
7849.6 0.196 0.216
7836.6 0.199 0.219
7797.0 0.200 0.220
7783.5 0.204 0.225
7780.7 0.206 0.227
7769.7 0.207 0.228
7769.5 0.208 0.229
7769.0 0.216 0.238
7765.3 0.217 0.239
7763.6 0.220 0.242
7762.3 0.222 0.245
7758.6 0.228 0.251
7757.4 0.231 0.255
7751.8 0.236 0.260
7750.5 0.237 0.261
7744.4 0.240 0.264
7739.1 0.241 0.266
7738.1 0.245 0.270
7732.1 0.271 0.299
7731.5 0.276 0.304
7729.6 0.285 0.314
7728.4 0.294 0.324
7725.4 0.334 0.368
7718.1 0.335 0.369
7714.2 0.358 0.395
7713.4 0.370 0.408
7711.5 0.371 0.409
7707.8 0.380 0.419
7701.0 0.382 0.421
7699.1 0.402 0.443
7696.9 0.407 0.449
7696.2 0.409 0.451
7692.4 0.410 0.452
7692.3 0.414 0.456
7690.5 0.428 0.472
7682.2 0.442 0.487
7682.1 0.444 0.489
7681.8 0.446 0.491
7680.1 0.462 0.509
7675.2 0.477 0.526
7673.5 0.478 0.527
7670.3 0.483 0.532
7669.7 0.487 0.537
7651.8 0.494 0.544
7651.7 0.501 0.552
7635.4 0.508 0.560
7633.9 0.512 0.564
7633.1 0.515 0.568
7632.8 0.517 0.570
7624.2 0.540 0.595
7619.8 0.599 0.660
7618.3 0.644 0.710
7618.1 0.651 0.717
7617.7 0.692 0.763
7616.6 0.698 0.769
7616.5 0.700 0.771
7616.3 0.713 0.786
7616.2 0.716 0.789
7612.6 0.729 0.803
7605.5 0.765 0.843
7605.2 0.774 0.853
7603.6 0.790 0.871
7597.6 0.809 0.892
7597.0 0.810 0.893
7596.7 0.816 0.899
7595.0 0.820 0.904
7594.3 0.848 0.934
7586.7 0.849 0.936
7586.5 0.870 0.959
7586.4 0.879 0.969
7575.0 0.888 0.979
7554.6 0.889 0.980
7553.4 0.910 1.003
7551.8 0.934 1.029
7534.9 0.938 1.034
7534.3 1.003 1.105
7532.7 1.006 1.109
7508.3 1.177 1.297
7508.1 1.234 1.360
7501.9 1.253 1.381
7500.3 1.344 1.481
7500.1 1.360 1.499
7496.8 1.402 1.545
7495.4 1.410 1.554
7488.9 1.411 1.555
7486.1 1.444 1.591
7484.7 1.462 1.611
7483.4 1.530 1.686
7482.7 1.569 1.729
7482.2 1.606 1.770
7480.0 1.636 1.803
7479.2 1.670 1.840
7476.9 1.685 1.857
7474.9 1.696 1.869
7474.4 1.703 1.877
7470.5 1.742 1.920
7467.9 1.753 1.932
7460.1 1.903 2.097
7457.8 8.796 9.693
7457.5 8.815 9.714
7456.4 12.155 13.395
7454.2 12.159 13.399
7449.1 12.174 13.416
7448.0 12.179 13.421
7447.5 12.191 13.434
7440.2 12.228 13.475
