12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R1_6_5
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 21236.270
BKS: 19305.7
Optimal: 0
Fri 11 Feb 2022 07:13:40 AM CST
timestamp: 1644534820
Solution value, local machine time, standardized time
21222.1 0.498 0.493
21200.5 0.509 0.504
21169.8 0.510 0.505
21161.5 0.512 0.507
21148.9 0.529 0.524
21131.7 0.548 0.543
21128.6 0.551 0.546
21127.7 0.566 0.561
21123.6 0.567 0.562
21118.6 0.568 0.563
21118.5 0.588 0.582
21109.4 0.609 0.603
21103.5 0.623 0.617
21095.7 0.624 0.618
21071.7 0.627 0.621
21026.3 0.628 0.622
20995.6 0.630 0.624
20995.0 0.632 0.626
20989.3 0.662 0.656
20986.4 0.665 0.659
20971.3 0.670 0.664
20966.0 0.680 0.674
20956.3 0.686 0.679
20950.9 0.689 0.682
20905.9 0.710 0.703
20901.2 0.716 0.709
20899.9 0.727 0.720
20899.0 0.748 0.741
20894.9 0.760 0.753
20889.4 0.776 0.769
20889.2 0.790 0.782
20884.0 0.804 0.796
20876.8 0.810 0.802
20874.4 0.812 0.804
20856.6 0.814 0.806
20847.3 0.817 0.809
20847.2 0.822 0.814
20843.5 0.824 0.816
20840.9 0.844 0.836
20829.0 0.855 0.847
20828.8 0.869 0.861
20818.6 0.921 0.912
20817.6 0.937 0.928
20811.4 0.939 0.930
20781.5 0.946 0.937
20781.4 0.947 0.938
20781.2 0.973 0.964
20777.5 0.974 0.965
20773.5 1.002 0.992
20772.6 1.004 0.994
20772.5 1.017 1.007
20768.0 1.038 1.028
20764.6 1.039 1.029
20761.6 1.110 1.099
20747.8 1.112 1.101
20746.5 1.124 1.113
20744.8 1.125 1.114
20743.0 1.133 1.122
20740.5 1.150 1.139
20739.7 1.200 1.189
20726.7 1.236 1.224
20722.9 1.238 1.226
20697.5 1.240 1.228
20680.5 1.250 1.238
20677.7 1.256 1.244
20661.8 1.270 1.258
20660.7 1.274 1.262
20652.6 1.295 1.283
20642.9 1.317 1.304
20639.3 1.341 1.328
20634.1 1.413 1.400
20631.7 1.457 1.443
20630.9 1.458 1.444
20629.8 1.470 1.456
20629.4 1.472 1.458
20629.2 1.485 1.471
20616.7 1.486 1.472
20615.7 1.511 1.497
20614.3 1.514 1.500
20611.5 1.519 1.505
20605.1 1.627 1.612
20603.9 1.661 1.645
20596.3 1.662 1.646
20594.1 1.667 1.651
20589.1 1.721 1.705
20583.9 1.731 1.715
20551.5 1.748 1.731
20536.8 1.750 1.733
20495.8 1.791 1.774
20482.8 1.797 1.780
20474.0 1.812 1.795
20463.4 1.822 1.805
20453.3 1.829 1.812
20446.9 1.849 1.831
20440.4 1.887 1.869
20439.9 1.902 1.884
20438.8 2.087 2.067
20436.9 2.099 2.079
20417.9 2.218 2.197
20389.5 2.229 2.208
20387.6 2.230 2.209
20384.2 2.402 2.379
20382.1 2.459 2.436
20379.0 2.461 2.438
20378.2 2.518 2.494
20377.9 2.665 2.640
20374.3 2.677 2.652
20342.3 2.681 2.656
20339.6 2.880 2.853
20334.0 2.883 2.856
20325.4 2.912 2.884
20301.3 3.072 3.043
20301.2 3.074 3.045
20296.1 3.242 3.211
20295.7 3.303 3.272
20293.1 3.349 3.317
20287.9 3.397 3.365
20286.5 3.426 3.393
20282.7 3.429 3.396
20282.0 3.479 3.446
20273.6 3.651 3.616
20270.7 3.653 3.618
20269.5 3.709 3.674
20267.2 3.797 3.761
