12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC2_2_1
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 3077.140
BKS: 2797.4
Optimal: 1
Fri 14 Jan 2022 05:25:02 PM CST
timestamp: 1642152302
Solution value, local machine time, standardized time
3069.4 0.049 0.049
3069.2 0.049 0.049
3067.2 0.049 0.049
3054.5 0.050 0.050
3051.4 0.054 0.053
3050.9 0.055 0.054
3050.6 0.055 0.054
3044.7 0.060 0.059
3043.0 0.060 0.059
3040.2 0.061 0.060
3033.1 0.087 0.086
3032.6 0.087 0.086
3032.3 0.088 0.087
3028.9 0.088 0.087
3024.8 0.088 0.087
3024.5 0.091 0.090
3014.9 0.100 0.099
3014.7 0.100 0.099
3013.1 0.101 0.100
3008.8 0.101 0.100
3007.9 0.102 0.101
3005.8 0.104 0.103
3005.4 0.136 0.135
3003.3 0.136 0.135
3001.9 0.136 0.135
3001.7 0.136 0.135
3000.6 0.169 0.167
2999.2 0.169 0.167
2998.0 0.170 0.168
2997.0 0.170 0.168
2977.9 0.174 0.172
2967.9 0.188 0.186
2955.3 0.188 0.186
2954.7 0.201 0.199
2937.5 0.225 0.223
2933.4 0.226 0.224
2933.2 0.226 0.224
2932.3 0.231 0.229
2928.3 0.232 0.230
2928.0 0.241 0.239
2927.8 0.241 0.239
2927.5 0.241 0.239
2923.6 0.242 0.240
2922.0 0.245 0.243
2920.7 0.246 0.244
2917.7 0.259 0.257
2917.3 0.259 0.257
2917.1 0.259 0.257
2914.5 0.259 0.257
2912.9 0.259 0.257
2911.5 0.259 0.257
2910.7 0.260 0.258
2910.0 0.276 0.273
2907.3 0.319 0.316
2906.7 0.339 0.336
2897.5 0.419 0.415
2897.3 0.419 0.415
2896.5 0.420 0.416
2896.1 0.420 0.416
2893.0 0.431 0.427
2892.6 0.472 0.468
2891.5 0.472 0.468
2891.2 0.473 0.469
2890.4 0.490 0.485
2885.0 0.509 0.504
2884.2 0.521 0.516
2866.6 0.532 0.527
2865.7 0.533 0.528
2857.7 0.565 0.560
2853.4 0.573 0.568
2845.6 0.910 0.901
2836.2 0.927 0.918
2836.1 0.934 0.925
2835.9 1.160 1.149
2835.7 1.160 1.149
2835.5 1.160 1.149
2834.5 1.225 1.213
2834.2 3.972 3.934
2834.0 3.973 3.935
2833.9 3.989 3.951
2833.2 3.989 3.951
2830.8 3.989 3.951
2829.9 3.989 3.951
2823.1 5.999 5.942
2822.7 5.999 5.942
2818.8 6.008 5.951
2810.6 6.342 6.282
2809.1 6.342 6.282
2808.5 6.342 6.282
2808.1 6.342 6.282
2807.3 6.342 6.282
2804.1 7.178 7.110
2803.6 7.209 7.141
2803.4 7.209 7.141
2803.3 8.929 8.844
2803.2 9.211 9.123
2799.1 25.241 25.001
2799.0 25.400 25.159
Primal Integral: 0.0643668696
