12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R202
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1132.560
BKS: 1029.6
Optimal: 1
Fri 14 Jan 2022 05:18:56 PM CST
timestamp: 1642151936
Solution value, local machine time, standardized time
1132.1 0.020 0.020
1131.9 0.020 0.020
1123.1 0.020 0.020
1120.7 0.020 0.020
1119.9 0.021 0.021
1118.3 0.022 0.022
1111.1 0.022 0.022
1109.8 0.025 0.025
1108.6 0.025 0.025
1108.3 0.027 0.027
1108.1 0.028 0.028
1107.4 0.028 0.028
1106.1 0.041 0.041
1104.4 0.041 0.041
1102.0 0.042 0.042
1100.5 0.042 0.042
1100.3 0.046 0.046
1077.3 0.047 0.047
1073.9 0.047 0.047
1069.8 0.047 0.047
1069.7 0.047 0.047
1068.7 0.069 0.068
1068.2 0.069 0.068
1067.6 0.069 0.068
1066.8 0.114 0.113
1065.1 0.114 0.113
1065.0 0.173 0.171
1063.4 0.180 0.178
1062.6 0.180 0.178
1062.5 0.183 0.181
1062.2 0.186 0.184
1060.3 0.187 0.185
1053.6 0.190 0.188
1052.9 0.190 0.188
1050.7 0.268 0.265
1050.5 0.272 0.269
1049.6 0.272 0.269
1045.1 0.313 0.310
1045.0 0.371 0.367
1044.5 0.397 0.393
1042.7 0.398 0.394
1042.5 0.402 0.398
1040.2 0.559 0.554
1039.8 0.560 0.555
1039.2 0.570 0.565
1037.7 0.570 0.565
1036.9 0.614 0.608
1033.0 6.043 5.986
1032.9 6.043 5.986
1032.5 6.099 6.041
1031.3 6.099 6.041
1030.6 6.133 6.075
1030.1 23.464 23.241
1030.0 23.891 23.664
1029.8 23.892 23.665
1029.6 25.198 24.959
Primal Integral: 0.0039390702
