12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC101
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1781.780
BKS: 1619.8
Optimal: 1
Fri 14 Jan 2022 05:19:06 PM CST
timestamp: 1642151946
Solution value, local machine time, standardized time
1765.3 0.006 0.006
1761.2 0.006 0.006
1759.2 0.006 0.006
1750.8 0.007 0.007
1743.2 0.007 0.007
1738.9 0.007 0.007
1735.3 0.007 0.007
1734.9 0.007 0.007
1734.5 0.008 0.008
1732.6 0.010 0.010
1732.1 0.012 0.012
1727.2 0.017 0.017
1723.2 0.018 0.018
1713.3 0.018 0.018
1712.1 0.026 0.026
1711.9 0.026 0.026
1698.7 0.026 0.026
1689.5 0.026 0.026
1683.1 0.026 0.026
1679.7 0.026 0.026
1679.6 0.026 0.026
1677.7 0.027 0.027
1673.8 0.031 0.031
1672.4 0.031 0.031
1672.0 0.033 0.033
1671.4 0.038 0.038
1668.3 0.039 0.039
1667.8 0.040 0.040
1667.7 0.042 0.042
1664.3 0.042 0.042
1664.0 0.066 0.065
1663.5 0.066 0.065
1661.4 0.179 0.177
1660.7 0.209 0.207
1660.6 0.209 0.207
1656.8 0.260 0.258
1655.9 0.457 0.453
1655.2 0.457 0.453
1654.7 0.458 0.454
1653.5 0.477 0.472
1653.4 0.492 0.487
1652.5 0.533 0.528
1652.0 0.533 0.528
1651.1 0.534 0.529
1648.9 0.682 0.676
1642.4 0.783 0.776
1638.2 2.294 2.272
1635.9 2.294 2.272
1635.7 3.772 3.736
1634.2 5.216 5.166
1633.6 20.701 20.504
1633.2 20.717 20.520
1632.1 20.733 20.536
1631.3 20.790 20.592
1629.7 21.005 20.805
1623.5 21.009 20.809
1621.8 21.421 21.218
1619.8 21.422 21.218
Primal Integral: 0.0115451249
