12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: C1_4_9
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 7620.580
BKS: 6927.8
Optimal: 1
Fri 14 Jan 2022 05:30:35 PM CST
timestamp: 1642152635
Solution value, local machine time, standardized time
7605.4 0.069 0.068
7605.0 0.070 0.069
7603.4 0.070 0.069
7602.2 0.071 0.070
7573.0 0.071 0.070
7571.9 0.072 0.071
7568.1 0.072 0.071
7567.1 0.073 0.072
7564.7 0.073 0.072
7564.1 0.074 0.073
7560.1 0.074 0.073
7559.8 0.075 0.074
7557.8 0.075 0.074
7556.6 0.076 0.075
7556.5 0.076 0.075
7555.9 0.077 0.076
7553.8 0.077 0.076
7551.5 0.078 0.077
7533.3 0.078 0.077
7528.5 0.079 0.078
7525.1 0.080 0.079
7524.2 0.080 0.079
7521.1 0.081 0.080
7517.8 0.081 0.080
7516.3 0.082 0.081
7516.1 0.082 0.081
7516.0 0.083 0.082
7513.9 0.083 0.082
7513.3 0.084 0.083
7512.2 0.084 0.083
7511.9 0.085 0.084
7510.2 0.085 0.084
7510.1 0.086 0.085
7509.8 0.086 0.085
7508.7 0.087 0.086
7507.8 0.087 0.086
7503.3 0.088 0.087
7499.8 0.088 0.087
7499.4 0.089 0.088
7472.5 0.089 0.088
7471.5 0.090 0.089
7469.7 0.090 0.089
7467.8 0.091 0.090
7467.1 0.091 0.090
7466.3 0.092 0.091
7465.4 0.092 0.091
7464.1 0.093 0.092
7462.9 0.093 0.092
7460.2 0.094 0.093
7458.7 0.094 0.093
7455.3 0.095 0.094
7453.3 0.095 0.094
7452.7 0.096 0.095
7452.3 0.096 0.095
7451.7 0.097 0.096
7450.8 0.097 0.096
7448.9 0.101 0.100
7448.4 0.109 0.108
7446.6 0.110 0.109
7446.5 0.112 0.111
7446.1 0.114 0.113
7430.2 0.121 0.120
7429.2 0.122 0.121
7428.9 0.123 0.122
7426.7 0.126 0.125
7423.7 0.127 0.126
7421.1 0.128 0.127
7419.9 0.136 0.135
7403.7 0.169 0.167
7400.7 0.170 0.168
7399.3 0.170 0.168
7376.4 0.171 0.169
7373.5 0.171 0.169
7345.4 0.172 0.170
7343.5 0.172 0.170
7342.6 0.173 0.171
7340.5 0.173 0.171
7340.0 0.174 0.172
7337.9 0.174 0.172
7331.9 0.175 0.173
7331.3 0.176 0.174
7329.6 0.176 0.174
7328.8 0.177 0.175
7327.4 0.177 0.175
7326.8 0.178 0.176
7316.7 0.178 0.176
7278.5 0.179 0.177
7277.5 0.180 0.178
7247.0 0.180 0.178
7246.9 0.181 0.179
7246.5 0.181 0.179
7245.5 0.182 0.180
7241.5 0.182 0.180
7234.0 0.183 0.181
7232.7 0.183 0.181
7224.5 0.184 0.182
7223.6 0.184 0.182
7223.4 0.185 0.183
7223.2 0.185 0.183
7221.3 0.186 0.184
7220.5 0.186 0.184
7219.7 0.187 0.185
7219.3 0.187 0.185
7219.0 0.188 0.186
7218.8 0.188 0.186
7216.5 0.189 0.187
7182.3 0.191 0.189
7179.5 0.192 0.190
7177.2 0.192 0.190
7174.5 0.193 0.191
7172.2 0.193 0.191
7172.0 0.202 0.200
7171.9 0.203 0.201
7170.9 0.206 0.204
7170.5 0.206 0.204
7170.3 0.210 0.208
7169.7 0.211 0.209
7167.1 0.211 0.209
7166.6 0.254 0.252
7164.4 0.285 0.282
7164.0 0.285 0.282
7163.1 0.286 0.283
7162.6 0.287 0.284
7162.3 0.288 0.285
7162.2 0.289 0.286
7156.3 0.290 0.287
7154.9 0.291 0.288
7154.7 0.297 0.294
7145.6 0.297 0.294
7144.5 0.298 0.295
7141.1 0.298 0.295
7137.3 0.304 0.301
7137.1 0.348 0.345
7134.0 0.351 0.348
7131.6 0.454 0.450
7130.7 0.455 0.451
7130.1 0.456 0.452
7129.4 0.458 0.454
7125.9 0.458 0.454
7125.7 0.465 0.461
7124.8 0.465 0.461
7123.8 0.470 0.466
7119.5 0.473 0.469
7112.8 0.474 0.469
7109.2 0.474 0.469
7108.7 0.474 0.469
7108.5 0.474 0.469
7106.1 0.794 0.786
7101.0 1.081 1.071
7097.9 1.082 1.072
7097.2 1.192 1.181
7091.2 1.224 1.212
7090.6 1.225 1.213
7084.0 1.256 1.244
7082.9 1.256 1.244
7077.1 1.293 1.281
7076.4 1.294 1.282
7076.2 1.298 1.286
7075.6 1.298 1.286
7074.4 1.299 1.287
7073.6 1.299 1.287
7072.5 1.301 1.289
7072.2 1.453 1.439
7072.0 1.453 1.439
7071.9 1.454 1.440
7071.2 1.454 1.440
7070.1 1.455 1.441
7069.5 2.824 2.797
7069.0 2.824 2.797
7068.4 2.825 2.798
7066.4 2.851 2.824
7066.3 2.852 2.825
7065.4 2.852 2.825
7065.1 2.853 2.826
7063.7 2.853 2.826
7063.4 2.859 2.832
7063.3 2.864 2.837
7062.5 2.982 2.954
7060.5 2.982 2.954
7059.4 2.986 2.958
7059.0 2.994 2.966
7056.7 3.002 2.973
7054.4 3.003 2.974
7054.1 3.507 3.474
7051.8 3.508 3.475
7051.3 3.617 3.583
7049.8 3.617 3.583
7047.2 3.665 3.630
7046.2 3.666 3.631
7044.0 3.693 3.658
7043.4 12.736 12.615
7040.4 12.754 12.633
7039.3 12.755 12.634
7035.7 29.313 29.035
7034.9 29.400 29.121
7032.9 29.504 29.224
7032.5 29.514 29.234
7032.4 29.544 29.263
7031.4 29.552 29.271
7030.6 29.553 29.272
7030.5 29.832 29.549
7030.2 30.700 30.408
7030.1 33.122 32.807
7030.0 33.123 32.808
7029.4 33.244 32.928
7029.0 33.263 32.947
7027.8 35.358 35.022
7026.1 41.155 40.764
7025.7 41.156 40.765
7024.2 41.247 40.855
7023.9 41.248 40.856
7023.8 41.469 41.075
7023.5 41.471 41.077
7023.3 41.472 41.078
7023.0 41.473 41.079
7022.8 41.474 41.080
7021.2 41.640 41.244
7019.5 41.842 41.445
7017.6 41.880 41.482
7012.7 41.912 41.514
7010.2 41.912 41.514
7010.1 41.913 41.515
7009.7 42.068 41.668
7009.3 42.176 41.775
7009.1 44.173 43.753
7008.7 44.348 43.927
7008.4 49.255 48.787
7008.3 120.062 118.921
7005.1 125.328 124.137
7005.0 125.356 124.165
7004.7 153.689 152.229
6998.2 211.542 209.532
6998.1 211.644 209.633
6997.6 211.647 209.636
6997.5 211.669 209.658
6997.2 239.445 237.170
6996.8 239.448 237.173
6996.4 244.002 241.684
6995.0 422.812 418.795
6994.8 422.813 418.796
6990.7 472.673 468.183
6989.4 474.973 470.461
6977.9 474.979 470.467
6977.8 474.980 470.468
6976.0 476.559 472.032
6975.0 476.559 472.032
6974.4 476.604 472.076
6974.1 479.035 474.484
6972.5 738.245 731.232
6972.4 739.423 732.398
6971.9 740.234 733.202
6971.6 749.227 742.109
6968.7 760.280 753.057
6968.6 760.609 753.383
6967.8 761.614 754.379
6966.4 762.504 755.260
6965.8 762.505 755.261
6964.2 762.505 755.261
6963.9 763.996 756.738
6962.9 767.406 760.116
6962.3 767.552 760.260
6962.0 768.546 761.245
6961.6 769.438 762.128
6961.3 942.323 933.371
Primal Integral: 0.5787449501
