12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R102
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1613.260
BKS: 1466.6
Optimal: 1
Thu 27 Jan 2022 03:50:40 AM CST
timestamp: 1643226640
Solution value, local machine time, standardized time
1606.6 0.007 0.007
1596.0 0.008 0.008
1595.6 0.008 0.008
1595.4 0.008 0.008
1589.7 0.008 0.008
1587.8 0.008 0.008
1586.6 0.008 0.008
1580.4 0.009 0.009
1579.8 0.009 0.009
1578.4 0.009 0.009
1577.5 0.009 0.009
1577.4 0.009 0.009
1566.5 0.009 0.009
1565.5 0.010 0.010
1564.4 0.010 0.010
1562.4 0.010 0.010
1555.8 0.010 0.010
1555.2 0.010 0.010
1554.6 0.010 0.010
1554.2 0.011 0.011
1553.7 0.011 0.011
1553.6 0.011 0.011
1552.8 0.011 0.011
1552.2 0.011 0.011
1551.5 0.012 0.012
1547.9 0.012 0.012
1547.0 0.012 0.012
1546.8 0.012 0.012
1543.8 0.012 0.012
1539.5 0.012 0.012
1538.9 0.013 0.013
1536.7 0.013 0.013
1532.8 0.013 0.013
1532.7 0.014 0.014
1523.4 0.078 0.077
1523.3 0.080 0.079
1523.0 0.082 0.081
1522.3 0.119 0.118
1515.2 0.172 0.170
1514.9 0.172 0.170
1514.1 0.172 0.170
1511.6 0.173 0.171
1511.2 0.175 0.173
1509.8 0.176 0.174
1509.5 0.178 0.176
1509.3 0.179 0.177
1507.9 0.180 0.178
1507.8 0.182 0.180
1507.6 0.616 0.610
1507.5 0.619 0.613
1507.1 0.619 0.613
1506.7 0.619 0.613
1504.8 1.383 1.370
1504.5 1.383 1.370
1504.3 1.384 1.371
1503.9 1.384 1.371
1503.0 1.384 1.371
1502.4 1.384 1.371
1501.7 1.384 1.371
1500.1 1.918 1.900
1500.0 1.918 1.900
1499.9 2.702 2.676
1489.8 2.702 2.676
1488.1 2.708 2.682
1484.6 3.147 3.117
1482.4 3.147 3.117
1481.6 3.330 3.298
1478.4 3.330 3.298
1478.1 3.330 3.298
1473.5 3.331 3.299
1469.7 3.750 3.714
1469.4 4.094 4.055
1468.0 4.113 4.074
1467.7 4.347 4.306
1467.5 4.347 4.306
1467.2 4.357 4.316
1467.1 4.464 4.422
1466.8 4.858 4.812
1466.6 5.267 5.217
Primal Integral: 0.0045926148
