12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 5694999987690650823
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC2_10_2
Standardized Time limit: 7200 secs
Local Machine Time Limit: 7269 secs
Base solution: 26698.870
BKS: 24271.7
Optimal: 0
Wed 26 Jan 2022 07:40:17 AM PST
timestamp: 1643211617
Solution value, local machine time, standardized time
26691.7 192.367 190.540
26687.1 192.369 190.541
26682.0 192.392 190.564
26676.2 192.393 190.565
26659.7 192.395 190.567
26655.5 192.396 190.568
26654.9 192.399 190.571
26646.3 199.760 197.862
26644.6 199.761 197.863
26644.4 199.762 197.864
26644.3 199.762 197.864
26644.0 199.763 197.865
26630.4 199.796 197.898
26625.0 204.580 202.636
26612.9 204.581 202.637
26589.6 204.582 202.638
26582.6 204.583 202.639
26578.6 204.583 202.639
26574.3 204.584 202.640
26559.9 204.645 202.701
26546.5 204.646 202.702
26544.9 204.647 202.703
26508.4 204.648 202.704
26507.2 204.649 202.705
26501.0 204.650 202.706
26496.4 204.651 202.707
26496.0 204.651 202.707
26494.3 204.652 202.708
26490.4 204.653 202.709
26489.2 204.654 202.710
26488.1 204.655 202.711
26483.3 204.656 202.712
26483.0 208.282 206.303
26478.4 209.156 207.169
26477.6 209.164 207.177
26471.1 209.165 207.178
26431.2 209.166 207.179
26426.9 209.167 207.180
26426.7 222.394 220.281
26426.0 222.395 220.282
26425.2 222.396 220.283
26422.3 222.396 220.283
26410.0 222.397 220.284
26409.7 222.397 220.284
26403.3 222.398 220.285
26401.6 222.398 220.285
26352.2 222.579 220.464
26349.5 222.581 220.466
26292.6 222.582 220.467
26291.9 224.975 222.838
26290.4 224.983 222.846
26285.7 224.989 222.852
26266.9 224.990 222.853
26259.2 224.992 222.855
26252.2 224.993 222.856
26246.5 224.994 222.857
26246.0 224.995 222.858
26243.6 224.997 222.860
26222.2 224.998 222.861
26216.0 224.999 222.862
26208.3 225.001 222.863
26199.0 225.002 222.864
26180.5 225.068 222.930
26173.6 225.069 222.931
26166.4 225.070 222.932
26154.0 225.071 222.933
26151.4 225.071 222.933
26150.5 231.860 229.657
26149.3 231.861 229.658
26148.6 231.861 229.658
26144.3 231.862 229.659
26139.5 231.925 229.722
26137.8 231.926 229.723
26132.8 231.927 229.724
26117.4 233.503 231.285
26109.4 233.507 231.289
26097.4 233.508 231.290
26096.8 233.509 231.291
26095.5 233.509 231.291
26087.1 233.510 231.292
26085.1 233.511 231.293
26067.6 233.528 231.309
26067.2 233.529 231.310
26061.0 233.530 231.311
26037.8 233.530 231.311
26035.8 233.531 231.312
26035.7 237.319 235.064
26034.5 237.320 235.065
26033.3 237.322 235.067
26033.1 237.327 235.072
26021.4 237.408 235.153
26020.0 237.409 235.154
26014.1 243.100 240.791
26009.8 243.105 240.796
25986.7 247.688 245.335
25983.6 247.689 245.336
25971.8 247.689 245.336
25951.1 247.690 245.337
25949.5 247.690 245.337
25948.6 247.691 245.338
25945.3 247.692 245.339
25927.4 247.741 245.387
25926.4 247.742 245.388
25924.3 247.743 245.389
25924.1 247.744 245.390
25905.9 248.369 246.009
25899.9 248.370 246.010
25899.1 248.371 246.011
25884.7 248.456 246.096
25882.8 248.457 246.097
25882.7 248.458 246.098
25881.1 248.459 246.099
25875.6 248.460 246.100
25842.3 248.460 246.100
25841.6 248.461 246.101
25840.6 248.462 246.102
25839.3 248.463 246.103
25838.1 248.464 246.104
25833.3 248.465 246.105
25833.0 248.466 246.106
25830.8 248.467 246.107
25786.8 248.468 246.108
25786.2 248.469 246.109
25786.1 248.469 246.109
25784.3 248.470 246.110
25783.8 248.471 246.111
25783.5 248.472 246.112
25783.2 248.473 246.113
25782.3 248.474 246.113
25782.2 248.475 246.114
25780.9 248.476 246.115
25780.6 248.818 246.454
25779.6 248.820 246.456
25758.2 248.822 246.458
25757.0 248.823 246.459
25747.3 248.824 246.460
25745.2 248.825 246.461
25744.7 248.826 246.462
25740.1 248.827 246.463
25739.7 248.828 246.464
25738.0 248.829 246.465
25718.7 248.830 246.466
25717.3 248.831 246.467
25710.3 248.833 246.469
25709.7 248.835 246.471
25708.7 248.839 246.475
25706.8 248.841 246.477
25705.3 248.843 246.479
25704.9 251.129 248.743
25702.9 251.132 248.746
25702.8 251.133 248.747
25698.2 251.156 248.770
25663.3 251.173 248.787
25659.8 251.174 248.788
25659.7 251.175 248.789
25656.7 251.176 248.790
25655.8 251.177 248.791
25655.6 251.178 248.792
25655.1 251.178 248.792
25654.6 251.179 248.793
