12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R206
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 963.490
BKS: 875.9
Optimal: 1
Thu 27 Jan 2022 03:50:21 AM CST
timestamp: 1643226621
Solution value, local machine time, standardized time
963.3 0.090 0.089
961.2 0.090 0.089
960.0 0.108 0.107
959.6 0.108 0.107
956.9 0.108 0.107
956.7 0.108 0.107
955.2 0.109 0.108
953.5 0.109 0.108
952.9 0.109 0.108
952.8 0.109 0.108
952.2 0.109 0.108
951.9 0.109 0.108
948.6 0.110 0.109
947.1 0.110 0.109
943.1 0.241 0.239
942.4 0.241 0.239
941.8 0.241 0.239
941.5 0.241 0.239
939.8 0.242 0.240
937.8 0.242 0.240
937.6 0.242 0.240
936.0 0.244 0.242
930.9 0.244 0.242
929.7 0.245 0.243
927.8 0.245 0.243
926.2 0.245 0.243
923.3 0.245 0.243
923.1 0.775 0.768
918.5 0.776 0.769
917.5 0.776 0.769
916.0 0.790 0.782
912.8 0.791 0.783
911.1 0.863 0.855
910.1 1.665 1.649
909.9 1.665 1.649
908.2 1.666 1.650
908.0 1.688 1.672
905.6 1.688 1.672
905.0 3.121 3.091
903.2 3.405 3.373
903.0 4.189 4.149
900.9 4.189 4.149
898.0 4.303 4.262
897.8 4.339 4.298
897.7 4.339 4.298
895.9 4.339 4.298
894.2 4.340 4.299
883.8 4.340 4.299
881.6 5.846 5.790
880.9 7.260 7.191
880.6 7.260 7.191
879.9 11.615 11.505
876.6 109.144 108.107
875.9 109.180 108.143
Primal Integral: 0.0366290235
