12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: C1_2_9
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 2903.560
BKS: 2639.6
Optimal: 1
Tue 11 Jan 2022 12:33:22 AM CST
timestamp: 1641832402
Solution value, local machine time, standardized time
2902.6 0.776 0.769
2900.9 0.776 0.769
2900.2 0.776 0.769
2863.9 0.776 0.769
2863.3 0.776 0.769
2861.1 0.776 0.769
2860.3 0.776 0.769
2853.3 0.777 0.770
2849.0 0.777 0.770
2843.6 0.777 0.770
2840.3 0.777 0.770
2839.9 0.777 0.770
2839.0 0.777 0.770
2838.3 0.777 0.770
2837.0 0.778 0.771
2835.1 0.778 0.771
2821.3 0.778 0.771
2819.7 0.778 0.771
2818.4 0.778 0.771
2817.5 0.779 0.772
2815.3 0.781 0.774
2812.1 0.783 0.776
2805.1 0.784 0.777
2804.8 0.784 0.777
2804.5 0.786 0.779
2802.4 0.788 0.781
2800.9 0.790 0.782
2800.1 0.790 0.782
2799.2 0.791 0.783
2798.2 0.796 0.788
2797.3 0.797 0.789
2797.2 0.797 0.789
2796.3 0.797 0.789
2792.7 0.800 0.792
2786.1 1.055 1.045
2781.5 1.061 1.051
2757.5 1.062 1.052
2743.2 1.073 1.063
2740.3 1.097 1.087
2739.8 1.097 1.087
2736.9 1.101 1.091
2727.0 1.123 1.112
2724.0 1.123 1.112
2719.6 1.124 1.113
2717.8 1.124 1.113
2717.4 1.146 1.135
2716.3 1.179 1.168
2694.9 1.471 1.457
2685.3 1.472 1.458
2682.8 1.472 1.458
2675.8 1.472 1.458
2669.4 1.472 1.458
2668.9 1.472 1.458
2662.0 1.512 1.498
2647.2 1.512 1.498
2642.7 1.512 1.498
Primal Integral: 0.1232505333
