12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C2_4_4
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 3876.070
BKS: 3523.7
Optimal: 0
Thu 10 Feb 2022 12:52:26 AM EST
timestamp: 1644472346
Solution value, local machine time, standardized time
3873.0 0.114 0.126
3870.0 0.124 0.137
3869.3 0.137 0.151
3862.5 0.144 0.159
3862.1 0.146 0.161
3860.6 0.147 0.162
3857.4 0.153 0.169
3857.2 0.155 0.171
3855.4 0.156 0.172
3841.3 0.168 0.185
3839.9 0.170 0.187
3839.2 0.171 0.188
3838.6 0.173 0.191
3836.6 0.175 0.193
3835.0 0.177 0.195
3831.5 0.180 0.198
3831.4 0.181 0.199
3824.1 0.182 0.201
3821.7 0.186 0.205
3794.1 0.187 0.206
3793.8 0.188 0.207
3789.3 0.192 0.212
3788.5 0.193 0.213
3785.4 0.194 0.214
3783.0 0.200 0.220
3782.2 0.201 0.222
3777.4 0.203 0.224
3774.6 0.207 0.228
3771.1 0.216 0.238
3771.0 0.220 0.242
3769.2 0.225 0.248
3768.2 0.226 0.249
3762.1 0.239 0.263
3761.6 0.262 0.289
3760.1 0.288 0.317
3759.6 0.333 0.367
3754.8 0.369 0.407
3751.1 0.371 0.409
3750.7 0.397 0.437
3750.4 0.421 0.464
3747.2 0.460 0.507
3745.9 0.658 0.725
3745.7 0.797 0.878
3745.5 1.479 1.630
3730.3 1.496 1.649
3722.3 1.501 1.654
3720.2 1.507 1.661
3701.3 1.512 1.666
3696.1 1.513 1.667
3691.7 1.522 1.677
3689.2 1.531 1.687
3684.2 1.538 1.695
3680.3 1.546 1.704
3676.7 1.556 1.715
3674.9 1.566 1.726
3672.9 1.570 1.730
3670.3 1.577 1.738
3669.6 1.580 1.741
3669.2 1.584 1.746
3668.9 1.585 1.747
3667.9 1.592 1.754
3665.5 1.597 1.760
3665.0 1.618 1.783
3662.0 1.631 1.797
3660.9 1.661 1.830
3657.8 1.701 1.875
3656.7 1.724 1.900
3655.7 1.746 1.924
3653.8 1.758 1.937
3651.8 1.761 1.941
3650.0 1.775 1.956
3648.3 1.828 2.014
3646.7 1.970 2.171
3646.3 2.121 2.337
3645.6 2.127 2.344
3645.2 2.169 2.390
3642.3 2.269 2.500
3641.7 2.289 2.522
3641.3 2.306 2.541
3641.1 2.319 2.556
3633.7 5.725 6.309
3630.4 5.726 6.310
3629.0 5.738 6.323
3627.1 5.739 6.324
3620.4 5.748 6.334
3613.7 5.756 6.343
3613.6 5.758 6.345
3612.7 5.759 6.346
3612.6 5.775 6.364
3610.0 5.795 6.386
3608.3 5.834 6.429
3607.7 5.999 6.611
3607.3 6.119 6.743
3603.9 6.176 6.806
3602.1 6.247 6.884
3600.1 6.252 6.890
3596.3 6.266 6.905
3595.7 6.303 6.946
3594.6 27.748 30.578
3589.4 27.758 30.589
3588.4 27.854 30.695
3580.6 29.003 31.961
3579.6 29.156 32.130
3576.6 30.815 33.958
3575.6 31.083 34.253
3573.7 31.084 34.255
3573.6 31.087 34.258
3567.9 31.123 34.298
3565.4 31.328 34.523
3564.0 33.050 36.421
3560.0 35.868 39.527
3559.9 36.013 39.686
3558.6 38.380 42.295
3555.7 44.513 49.053
3553.5 44.955 49.540
3551.2 45.339 49.964
3550.5 45.409 50.041
3549.7 45.422 50.055
3549.2 45.727 50.391
3546.3 46.179 50.889
3545.7 50.377 55.515
3529.0 54.300 59.839
3528.9 54.301 59.840
3528.4 54.625 60.197
3528.1 131.753 145.192
3527.8 159.355 175.609
3527.3 160.634 177.019
3526.5 161.319 177.774
3526.0 165.054 181.890
3525.0 276.525 304.731
3524.8 874.446 963.639
Primal Integral: 0.0656372155
