12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C1_4_9
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 7620.580
BKS: 6927.8
Optimal: 1
Wed 09 Feb 2022 11:00:44 PM EST
timestamp: 1644465644
Solution value, local machine time, standardized time
7602.2 0.086 0.095
7555.5 0.092 0.101
7549.1 0.093 0.102
7507.8 0.094 0.104
7506.2 0.095 0.105
7486.6 0.098 0.108
7449.2 0.100 0.110
7442.3 0.101 0.111
7417.0 0.106 0.117
7407.1 0.108 0.119
7387.1 0.109 0.120
7364.9 0.113 0.125
7354.9 0.117 0.129
7326.4 0.118 0.130
7263.8 0.120 0.132
7245.3 0.121 0.133
7239.9 0.122 0.134
7235.9 0.124 0.137
7232.6 0.127 0.140
7232.5 0.130 0.143
7224.5 0.132 0.145
7218.4 0.135 0.149
7217.4 0.182 0.201
7214.9 0.186 0.205
7190.5 0.202 0.223
7172.4 0.223 0.246
7171.8 0.225 0.248
7170.7 0.235 0.259
7170.1 0.237 0.261
7168.7 0.238 0.262
7168.6 0.241 0.266
7167.4 0.242 0.267
7167.1 0.246 0.271
7158.5 0.314 0.346
7157.9 0.323 0.356
7156.6 0.480 0.529
7156.0 0.493 0.543
7105.1 0.516 0.569
7103.2 0.557 0.614
7102.8 0.575 0.634
7077.6 0.595 0.656
7060.6 0.596 0.657
7058.9 0.603 0.665
7058.6 0.608 0.670
7058.3 0.621 0.684
7057.8 0.625 0.689
7054.2 0.637 0.702
7045.4 0.641 0.706
7041.5 0.651 0.717
7037.8 0.956 1.054
7037.7 0.958 1.056
7035.4 0.970 1.069
7034.8 0.982 1.082
7032.9 0.994 1.095
7032.1 9.262 10.207
7030.9 9.634 10.617
7028.2 9.985 11.003
7027.9 10.400 11.461
7027.5 10.412 11.474
7026.9 10.476 11.545
7022.9 10.477 11.546
7022.7 12.642 13.931
7022.5 13.517 14.896
7022.4 13.623 15.013
7021.9 14.776 16.283
7021.7 15.402 16.973
7021.2 15.608 17.200
7020.6 15.611 17.203
7016.2 15.622 17.215
7014.9 15.741 17.347
7013.8 15.742 17.348
7013.2 15.759 17.366
7013.1 15.834 17.449
7010.9 15.983 17.613
7007.1 15.985 17.615
7006.5 16.123 17.768
7001.5 16.449 18.127
7001.4 16.461 18.140
6999.0 16.807 18.521
6997.6 17.269 19.030
6997.1 20.216 22.278
6995.7 20.217 22.279
6993.2 20.598 22.699
6991.7 21.802 24.026
6991.4 22.712 25.029
6988.7 26.141 28.807
6988.4 26.329 29.015
6981.3 26.429 29.125
6980.7 26.487 29.189
6977.0 29.625 32.647
6976.4 29.627 32.649
6976.1 33.129 36.508
6976.0 33.441 36.852
6975.6 33.586 37.012
6975.3 34.193 37.681
6974.5 40.767 44.925
6972.6 40.984 45.164
6972.0 41.090 45.281
6971.7 41.155 45.353
6967.7 47.434 52.272
6967.3 48.190 53.105
6963.1 48.582 53.537
6962.8 48.605 53.563
6961.9 58.550 64.522
6961.6 58.845 64.847
6960.7 61.132 67.367
6959.6 61.374 67.634
6958.4 61.375 67.635
6957.0 61.450 67.718
6956.6 61.984 68.306
6956.3 64.216 70.766
6955.3 85.522 94.245
6954.8 86.145 94.932
6954.4 90.976 100.256
6937.8 91.308 100.621
6934.6 91.339 100.656
6934.3 91.358 100.677
6933.2 91.397 100.719
6932.9 92.280 101.693
6932.1 101.397 111.739
6928.2 129.128 142.299
6928.1 136.304 150.207
6927.8 136.450 150.368
Primal Integral: 0.0218877614
