12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_4_3
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 8583.080
BKS: 7802.8
Optimal: 0
Thu 10 Feb 2022 07:15:06 AM EST
timestamp: 1644495306
Solution value, local machine time, standardized time
8563.8 0.070 0.077
8552.6 0.075 0.083
8552.5 0.077 0.085
8543.2 0.080 0.088
8538.0 0.081 0.089
8536.6 0.084 0.093
8517.2 0.087 0.096
8488.2 0.089 0.098
8476.2 0.091 0.100
8460.4 0.093 0.102
8457.7 0.094 0.104
8452.2 0.107 0.118
8440.5 0.108 0.119
8435.2 0.110 0.121
8432.9 0.111 0.122
8426.6 0.120 0.132
8422.4 0.133 0.147
8409.5 0.135 0.149
8406.7 0.143 0.158
8405.7 0.145 0.160
8393.1 0.147 0.162
8385.2 0.151 0.166
8364.4 0.152 0.168
8359.3 0.155 0.171
8333.9 0.159 0.175
8333.0 0.162 0.179
8321.0 0.174 0.192
8319.9 0.177 0.195
8311.5 0.179 0.197
8311.4 0.181 0.199
8306.9 0.194 0.214
8306.5 0.204 0.225
8278.0 0.210 0.231
8277.7 0.221 0.244
8274.4 0.223 0.246
8233.4 0.226 0.249
8227.5 0.236 0.260
8224.1 0.240 0.264
8218.4 0.242 0.267
8212.1 0.245 0.270
8211.2 0.246 0.271
8209.6 0.249 0.274
8209.4 0.258 0.284
8205.4 0.260 0.287
8203.9 0.262 0.289
8200.8 0.277 0.305
8197.6 0.282 0.311
8194.2 0.284 0.313
8188.3 0.298 0.328
8188.2 0.311 0.343
8187.5 0.314 0.346
8182.6 0.315 0.347
8159.7 0.324 0.357
8152.1 0.325 0.358
8150.5 0.334 0.368
8135.4 0.351 0.387
8127.7 0.356 0.392
8125.7 0.362 0.399
8125.3 0.379 0.418
8117.0 0.430 0.474
8109.5 0.431 0.475
8108.9 0.453 0.499
8106.2 0.455 0.501
8103.1 0.483 0.532
8102.1 0.494 0.544
8093.8 0.500 0.551
8090.7 0.504 0.555
8088.3 0.508 0.560
8076.4 0.575 0.634
8076.1 0.585 0.645
8068.5 0.600 0.661
8068.4 0.632 0.696
8067.9 0.645 0.711
8067.5 0.657 0.724
8061.8 0.730 0.804
8057.8 0.734 0.809
8057.2 0.742 0.818
8054.1 0.744 0.820
8053.1 0.768 0.846
8050.8 0.771 0.850
8039.5 0.775 0.854
8039.2 0.780 0.860
8035.3 0.781 0.861
8033.0 0.791 0.872
8032.9 0.795 0.876
8032.1 0.821 0.905
8031.2 0.880 0.970
8031.0 0.926 1.020
8030.8 0.928 1.023
8029.9 0.983 1.083
8028.8 0.985 1.085
8028.0 1.003 1.105
8027.2 1.083 1.193
8026.4 1.111 1.224
8022.4 1.136 1.252
8021.5 1.141 1.257
8021.1 1.159 1.277
8016.4 1.168 1.287
8015.6 1.169 1.288
8015.3 1.211 1.335
8014.6 1.212 1.336
8006.2 1.219 1.343
8004.7 1.222 1.347
8004.4 1.244 1.371
8003.0 1.251 1.379
8001.3 1.299 1.431
7988.9 1.316 1.450
7987.7 1.357 1.495
7985.8 1.374 1.514
7985.0 1.490 1.642
7977.5 1.509 1.663
7976.8 1.521 1.676
7976.6 1.525 1.681
7965.4 1.537 1.694
7962.4 1.588 1.750
7961.6 1.620 1.785
7960.7 1.660 1.829
