12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C1_4_4
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 7455.470
BKS: 6777.7
Optimal: 1
Wed 09 Feb 2022 10:44:34 PM EST
timestamp: 1644464674
Solution value, local machine time, standardized time
7455.4 0.162 0.179
7451.1 0.164 0.181
7449.9 0.166 0.183
7447.1 0.167 0.184
7446.2 0.169 0.186
7442.1 0.173 0.191
7434.9 0.179 0.197
7429.1 0.180 0.198
7427.3 0.181 0.199
7425.6 0.183 0.202
7423.7 0.184 0.203
7422.6 0.185 0.204
7421.9 0.187 0.206
7393.5 0.188 0.207
7385.7 0.208 0.229
7385.6 0.209 0.230
7377.7 0.214 0.236
7363.1 0.215 0.237
7346.7 0.220 0.242
7346.6 0.225 0.248
7309.2 0.229 0.252
7308.8 0.231 0.255
7308.6 0.239 0.263
7307.7 0.240 0.264
7306.2 0.247 0.272
7303.3 0.253 0.279
7298.7 0.254 0.280
7295.5 0.265 0.292
7292.6 0.266 0.293
7292.5 0.274 0.302
7290.9 0.276 0.304
7285.5 0.288 0.317
7285.1 0.293 0.323
7284.8 0.309 0.341
7284.6 0.318 0.350
7279.1 0.320 0.353
7278.9 0.325 0.358
7278.6 0.328 0.361
7278.4 0.330 0.364
7270.5 0.333 0.367
7267.0 0.335 0.369
7265.3 0.336 0.370
7264.3 0.341 0.376
7264.2 0.347 0.382
7263.9 0.351 0.387
7262.8 0.356 0.392
7245.7 0.359 0.396
7245.2 0.361 0.398
7242.2 0.365 0.402
7230.7 0.383 0.422
7230.6 0.394 0.434
7227.7 0.419 0.462
7225.9 0.445 0.490
7225.4 0.486 0.536
7224.0 0.490 0.540
7221.0 0.504 0.555
7220.0 0.507 0.559
7217.8 0.515 0.568
7200.6 0.523 0.576
7199.7 0.524 0.577
7195.0 0.525 0.579
7194.9 0.530 0.584
7194.7 0.543 0.598
7193.2 0.551 0.607
7187.5 0.552 0.608
7186.9 0.572 0.630
7186.3 0.581 0.640
7184.2 0.589 0.649
7178.0 0.599 0.660
7176.1 0.606 0.668
7173.6 0.620 0.683
7171.8 0.630 0.694
7170.7 0.648 0.714
7169.5 0.741 0.817
7166.8 0.751 0.828
7165.8 0.754 0.831
7162.1 0.791 0.872
7160.8 0.908 1.001
7158.9 0.942 1.038
7156.8 0.961 1.059
7098.1 0.974 1.073
7053.5 0.977 1.077
7042.3 0.980 1.080
7029.7 0.981 1.081
7027.6 0.990 1.091
7023.6 0.998 1.100
7019.2 1.012 1.115
7017.9 1.061 1.169
7017.5 1.100 1.212
7016.5 1.120 1.234
7013.8 1.184 1.305
7013.7 1.250 1.378
7013.6 1.400 1.543
7013.3 1.402 1.545
7008.0 1.421 1.566
6993.6 1.430 1.576
6992.4 1.496 1.649
6987.3 1.661 1.830
6974.6 1.703 1.877
6962.7 1.704 1.878
6957.6 1.771 1.952
6956.8 1.773 1.954
6955.5 1.802 1.986
6954.7 1.809 1.994
6953.6 1.827 2.013
6953.4 1.842 2.030
6952.9 1.875 2.066
6952.4 1.993 2.196
6951.6 2.288 2.521
6951.1 2.296 2.530
6950.8 2.366 2.607
6949.9 2.395 2.639
6949.3 2.406 2.651
6946.7 2.447 2.697
6941.7 2.731 3.010
6940.1 5.071 5.588
6939.4 5.114 5.636
