12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R207
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 873.400
BKS: 794.0
Optimal: 1
Mon 31 Jan 2022 08:09:51 PM CST
timestamp: 1643630991
Solution value, local machine time, standardized time
867.8 0.091 0.090
867.7 0.091 0.090
867.0 0.091 0.090
866.5 0.091 0.090
866.3 0.092 0.091
865.7 0.092 0.091
864.7 0.092 0.091
863.6 0.092 0.091
863.5 0.092 0.091
862.9 0.092 0.091
859.3 0.135 0.134
858.7 0.135 0.134
857.8 0.135 0.134
857.2 0.135 0.134
856.8 0.136 0.135
856.5 0.136 0.135
856.2 0.136 0.135
855.9 0.137 0.136
854.8 0.137 0.136
853.2 0.137 0.136
849.6 0.137 0.136
848.3 0.137 0.136
847.0 0.147 0.146
846.9 0.148 0.147
846.7 0.170 0.168
846.3 0.406 0.402
845.7 0.406 0.402
845.1 0.427 0.423
843.8 0.440 0.436
843.7 0.440 0.436
843.6 0.440 0.436
843.2 0.447 0.443
843.1 0.447 0.443
842.9 0.483 0.478
842.8 0.514 0.509
841.3 0.515 0.510
841.0 0.534 0.529
840.6 0.534 0.529
838.6 1.351 1.338
838.2 1.352 1.339
836.8 1.352 1.339
836.5 1.352 1.339
836.1 1.352 1.339
835.0 1.353 1.340
834.6 1.375 1.362
833.8 1.385 1.372
832.5 1.385 1.372
831.1 1.385 1.372
830.9 1.385 1.372
827.6 1.394 1.381
825.5 1.394 1.381
824.9 1.395 1.382
824.3 1.395 1.382
822.4 1.397 1.384
822.3 1.397 1.384
821.8 1.397 1.384
821.2 1.431 1.417
820.5 1.431 1.417
819.3 1.431 1.417
815.3 1.431 1.417
813.9 1.444 1.430
812.4 1.446 1.432
812.2 1.453 1.439
811.3 1.499 1.485
810.7 1.499 1.485
809.4 2.640 2.615
808.3 2.673 2.648
807.9 2.673 2.648
806.7 15.873 15.722
805.7 15.873 15.722
800.6 15.873 15.722
800.3 15.873 15.722
799.3 15.875 15.724
798.4 20.448 20.254
797.8 21.804 21.597
797.1 21.866 21.658
795.8 23.226 23.005
794.0 24.889 24.653
Primal Integral: 0.0217433039
