12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R112
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1043.790
BKS: 948.9
Optimal: 1
Mon 31 Jan 2022 08:11:43 PM CST
timestamp: 1643631103
Solution value, local machine time, standardized time
1043.6 0.016 0.016
1043.4 0.016 0.016
1042.2 0.016 0.016
1041.4 0.016 0.016
1038.6 0.016 0.016
1037.0 0.016 0.016
1035.5 0.017 0.017
1034.9 0.017 0.017
1033.6 0.018 0.018
1033.2 0.018 0.018
1031.1 0.023 0.023
1026.4 0.023 0.023
1022.9 0.023 0.023
1020.8 0.024 0.024
1020.7 0.024 0.024
1020.4 0.024 0.024
1019.3 0.024 0.024
1016.8 0.024 0.024
1016.5 0.027 0.027
1015.4 0.030 0.030
1015.2 0.030 0.030
1014.0 0.030 0.030
1009.9 0.030 0.030
1006.7 0.037 0.037
1005.4 0.037 0.037
1004.7 0.038 0.038
1002.5 0.042 0.042
1001.1 0.044 0.044
998.2 0.044 0.044
997.5 0.044 0.044
995.7 0.044 0.044
993.1 0.044 0.044
992.1 0.044 0.044
991.1 0.054 0.053
990.5 0.055 0.054
989.9 0.073 0.072
986.5 0.106 0.105
985.6 0.121 0.120
985.3 0.182 0.180
984.8 0.210 0.208
983.4 0.211 0.209
982.1 0.211 0.209
980.5 0.250 0.248
978.4 0.257 0.255
976.6 0.258 0.256
974.3 0.258 0.256
973.1 0.259 0.257
973.0 0.259 0.257
972.3 0.259 0.257
971.3 0.264 0.261
970.9 0.264 0.261
962.1 0.267 0.264
961.9 11.257 11.150
959.1 11.269 11.162
950.4 11.471 11.362
948.6 655.239 649.014
Primal Integral: 0.0449974848
