12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R102
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1613.260
BKS: 1466.6
Optimal: 1
Mon 31 Jan 2022 08:14:55 PM CST
timestamp: 1643631295
Solution value, local machine time, standardized time
1609.9 0.012 0.012
1608.6 0.013 0.013
1607.1 0.013 0.013
1577.8 0.013 0.013
1575.3 0.013 0.013
1575.2 0.014 0.014
1575.0 0.014 0.014
1573.7 0.014 0.014
1572.3 0.014 0.014
1570.7 0.014 0.014
1569.3 0.015 0.015
1568.1 0.015 0.015
1566.8 0.015 0.015
1558.5 0.015 0.015
1553.3 0.015 0.015
1551.2 0.016 0.016
1550.8 0.016 0.016
1540.7 0.016 0.016
1539.7 0.016 0.016
1535.2 0.016 0.016
1535.1 0.017 0.017
1534.7 0.017 0.017
1534.3 0.017 0.017
1532.7 0.017 0.017
1532.4 0.017 0.017
1530.4 0.018 0.018
1530.3 0.018 0.018
1529.5 0.029 0.029
1525.9 0.029 0.029
1522.1 0.029 0.029
1521.4 0.029 0.029
1519.0 0.029 0.029
1512.3 0.030 0.030
1509.6 0.030 0.030
1508.7 0.030 0.030
1507.5 0.030 0.030
1504.0 0.031 0.031
1503.9 0.031 0.031
1499.6 0.038 0.038
1499.3 0.038 0.038
1495.8 0.038 0.038
1495.1 0.038 0.038
1492.8 0.039 0.039
1492.0 0.039 0.039
1489.8 0.040 0.040
1489.4 0.046 0.046
1489.1 0.046 0.046
1488.9 0.084 0.083
1488.2 0.084 0.083
1485.6 0.084 0.083
1483.8 0.087 0.086
1483.7 0.108 0.107
1482.3 0.108 0.107
1481.4 0.108 0.107
1479.3 0.108 0.107
1476.8 0.256 0.254
1476.2 0.257 0.255
1475.8 0.257 0.255
1473.9 0.412 0.408
1473.4 0.412 0.408
1469.5 0.412 0.408
1468.8 0.450 0.446
1468.5 0.466 0.462
1467.8 0.467 0.463
1466.9 2.020 2.001
1466.6 2.254 2.233
Primal Integral: 0.0003857456
