12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R202
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1132.560
BKS: 1029.6
Optimal: 1
Mon 31 Jan 2022 08:11:28 PM CST
timestamp: 1643631088
Solution value, local machine time, standardized time
1129.2 0.025 0.025
1125.1 0.027 0.027
1124.7 0.027 0.027
1123.4 0.027 0.027
1123.3 0.031 0.031
1116.7 0.032 0.032
1115.5 0.032 0.032
1108.7 0.045 0.045
1101.9 0.060 0.059
1101.6 0.060 0.059
1096.9 0.060 0.059
1096.4 0.060 0.059
1094.5 0.060 0.059
1093.0 0.061 0.060
1092.0 0.061 0.060
1091.5 0.061 0.060
1091.2 0.061 0.060
1091.0 0.061 0.060
1090.9 0.061 0.060
1090.1 0.061 0.060
1086.8 0.062 0.061
1085.3 0.087 0.086
1082.4 0.087 0.086
1077.7 0.095 0.094
1076.6 0.095 0.094
1075.9 0.095 0.094
1075.8 0.095 0.094
1073.6 0.095 0.094
1073.0 0.095 0.094
1072.3 0.095 0.094
1068.6 0.096 0.095
1066.2 0.098 0.097
1065.9 0.100 0.099
1065.0 0.100 0.099
1064.9 0.105 0.104
1062.2 0.105 0.104
1059.8 0.339 0.336
1057.6 0.345 0.342
1056.9 0.345 0.342
1056.1 0.346 0.343
1051.1 0.362 0.359
1048.8 0.419 0.415
1047.8 0.501 0.496
1042.9 0.525 0.520
1040.8 0.550 0.545
1038.4 0.599 0.593
1036.9 0.763 0.756
1034.2 14.736 14.596
1034.1 14.736 14.596
1033.9 20.691 20.494
1032.9 20.878 20.680
1030.7 20.976 20.777
1030.6 20.976 20.777
1030.1 47.008 46.561
1029.8 47.322 46.872
1029.6 47.328 46.878
Primal Integral: 0.0095044839
