12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R210
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 990.550
BKS: 900.5
Optimal: 1
Wed 26 Jan 2022 10:33:11 AM CST
timestamp: 1643164391
Solution value, local machine time, standardized time
985.8 0.024 0.024
985.3 0.024 0.024
985.2 0.024 0.024
983.6 0.024 0.024
983.2 0.024 0.024
981.5 0.024 0.024
981.0 0.025 0.025
976.9 0.032 0.032
976.2 0.032 0.032
974.9 0.036 0.036
974.7 0.036 0.036
974.0 0.036 0.036
973.5 0.038 0.038
972.6 0.038 0.038
972.4 0.038 0.038
970.2 0.038 0.038
968.5 0.039 0.039
968.4 0.039 0.039
964.4 0.039 0.039
963.4 0.039 0.039
959.1 0.039 0.039
956.1 0.039 0.039
955.7 0.040 0.040
955.0 0.051 0.051
953.7 0.053 0.052
951.8 0.060 0.059
950.7 0.061 0.060
950.6 0.061 0.060
949.7 0.062 0.061
949.3 0.093 0.092
948.4 0.095 0.094
946.2 0.097 0.096
943.7 0.097 0.096
941.7 0.097 0.096
940.0 0.100 0.099
933.3 0.108 0.107
932.6 0.155 0.154
932.0 0.155 0.154
931.3 0.155 0.154
926.9 0.155 0.154
923.7 0.156 0.155
921.0 0.529 0.524
919.8 0.537 0.532
919.4 1.541 1.526
919.0 2.989 2.961
918.5 2.990 2.962
918.0 3.116 3.086
916.1 3.116 3.086
915.0 3.116 3.086
914.6 3.116 3.086
914.4 3.132 3.102
912.0 3.155 3.125
910.8 3.156 3.126
908.7 3.411 3.379
908.5 102.212 101.241
908.4 102.212 101.241
908.0 117.543 116.426
907.8 154.684 153.215
906.9 154.685 153.215
906.3 154.902 153.430
905.9 156.343 154.858
905.1 161.748 160.211
904.2 161.749 160.212
Primal Integral: 0.4548595472
