12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R103
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1329.570
BKS: 1208.7
Optimal: 1
Wed 26 Jan 2022 10:37:01 AM CST
timestamp: 1643164621
Solution value, local machine time, standardized time
1327.4 0.007 0.007
1327.2 0.007 0.007
1324.0 0.008 0.008
1320.2 0.008 0.008
1316.1 0.008 0.008
1315.0 0.008 0.008
1314.3 0.008 0.008
1311.1 0.008 0.008
1305.2 0.009 0.009
1305.1 0.009 0.009
1304.4 0.009 0.009
1299.5 0.009 0.009
1299.1 0.009 0.009
1297.3 0.009 0.009
1297.0 0.010 0.010
1296.4 0.010 0.010
1296.0 0.011 0.011
1295.6 0.013 0.013
1291.0 0.013 0.013
1290.8 0.014 0.014
1289.9 0.014 0.014
1288.5 0.014 0.014
1285.5 0.015 0.015
1285.1 0.017 0.017
1282.4 0.023 0.023
1281.7 0.024 0.024
1281.4 0.028 0.028
1273.8 0.028 0.028
1273.6 0.028 0.028
1273.4 0.029 0.029
1272.4 0.029 0.029
1269.1 0.031 0.031
1267.6 0.032 0.032
1265.2 0.032 0.032
1260.4 0.032 0.032
1259.8 0.032 0.032
1256.7 0.032 0.032
1255.7 0.032 0.032
1254.9 0.032 0.032
1247.3 0.033 0.033
1246.9 0.072 0.071
1244.0 0.076 0.075
1241.9 0.079 0.078
1241.5 0.079 0.078
1239.1 0.117 0.116
1238.3 0.128 0.127
1238.1 0.132 0.131
1236.5 0.140 0.139
1235.7 0.140 0.139
1235.5 0.140 0.139
1233.5 0.143 0.142
1229.8 0.144 0.143
1227.3 0.144 0.143
1226.3 0.322 0.319
1223.4 0.324 0.321
1223.3 0.399 0.395
1223.0 0.399 0.395
1221.6 0.502 0.497
1221.2 0.502 0.497
1220.8 0.640 0.634
1220.7 0.640 0.634
1220.5 0.640 0.634
1219.7 0.640 0.634
1218.2 0.999 0.990
1217.7 0.999 0.990
1217.0 1.002 0.992
1216.0 1.523 1.509
1215.5 1.618 1.603
1213.8 2.130 2.110
1212.2 2.560 2.536
1211.2 2.560 2.536
1208.7 15.390 15.244
Primal Integral: 0.0027803467
