12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R202
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1132.560
BKS: 1029.6
Optimal: 1
Wed 26 Jan 2022 10:35:19 AM CST
timestamp: 1643164519
Solution value, local machine time, standardized time
1132.2 0.009 0.009
1125.7 0.009 0.009
1117.3 0.009 0.009
1114.9 0.010 0.010
1109.0 0.010 0.010
1108.3 0.010 0.010
1101.1 0.016 0.016
1099.1 0.017 0.017
1098.5 0.017 0.017
1096.3 0.017 0.017
1093.8 0.017 0.017
1093.2 0.025 0.025
1088.3 0.026 0.026
1086.0 0.026 0.026
1081.7 0.026 0.026
1080.5 0.026 0.026
1079.3 0.027 0.027
1078.1 0.027 0.027
1076.4 0.028 0.028
1076.3 0.033 0.033
1075.9 0.040 0.040
1075.1 0.052 0.052
1070.7 0.057 0.056
1066.4 0.058 0.057
1066.3 0.058 0.057
1066.2 0.060 0.059
1065.3 0.074 0.073
1065.2 0.075 0.074
1064.5 0.075 0.074
1064.1 0.156 0.155
1063.9 0.208 0.206
1062.1 0.294 0.291
1061.7 0.313 0.310
1061.1 0.321 0.318
1060.4 0.321 0.318
1059.0 0.322 0.319
1058.8 0.355 0.352
1058.7 0.432 0.428
1053.9 0.438 0.434
1053.6 0.468 0.464
1052.7 0.473 0.469
1051.9 0.480 0.475
1050.6 0.483 0.478
1050.0 0.483 0.478
1049.5 0.490 0.485
1046.7 0.491 0.486
1045.8 1.668 1.652
1045.4 1.901 1.883
1044.3 1.901 1.883
1043.7 1.901 1.883
1041.8 1.903 1.885
1039.3 1.903 1.885
1038.9 1.903 1.885
1038.5 1.935 1.917
1038.4 1.941 1.923
1037.3 1.967 1.948
1036.9 1.967 1.948
1035.3 26.207 25.958
1033.3 27.371 27.111
1032.7 28.167 27.899
1031.5 39.018 38.647
1030.7 39.033 38.662
1030.6 40.052 39.672
1029.8 98.478 97.542
1029.6 99.209 98.267
Primal Integral: 0.0171964269
