12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R201
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1257.520
BKS: 1143.2
Optimal: 1
Wed 26 Jan 2022 10:35:30 AM CST
timestamp: 1643164530
Solution value, local machine time, standardized time
1252.2 0.062 0.061
1249.5 0.062 0.061
1247.7 0.062 0.061
1246.2 0.063 0.062
1245.3 0.063 0.062
1241.7 0.063 0.062
1240.5 0.063 0.062
1237.3 0.064 0.063
1234.9 0.065 0.064
1234.4 0.065 0.064
1230.8 0.068 0.067
1229.6 0.069 0.068
1228.3 0.084 0.083
1224.4 0.085 0.084
1207.0 0.101 0.100
1206.6 0.117 0.116
1206.1 0.119 0.118
1205.4 0.120 0.119
1201.7 0.120 0.119
1189.2 0.120 0.119
1183.0 0.165 0.163
1180.6 0.177 0.175
1179.2 0.284 0.281
1178.5 0.286 0.283
1176.3 0.400 0.396
1175.8 0.659 0.653
1174.3 0.660 0.654
1174.0 0.713 0.706
1173.6 0.951 0.942
1173.3 0.952 0.943
1173.2 0.952 0.943
1172.7 2.499 2.475
1168.2 2.520 2.496
1168.1 2.520 2.496
1167.6 2.821 2.794
1167.1 4.853 4.807
1166.7 4.919 4.872
1164.4 23.286 23.065
1159.9 23.289 23.068
1159.1 23.293 23.072
1158.7 23.296 23.075
1155.7 23.296 23.075
1153.0 23.325 23.103
1151.1 23.346 23.124
1150.1 23.347 23.125
1148.1 23.355 23.133
1147.9 24.668 24.434
1146.9 25.426 25.184
1146.6 25.426 25.184
1145.6 25.427 25.185
1145.5 25.430 25.188
1145.4 25.431 25.189
1145.1 25.431 25.189
1143.5 28.200 27.932
1143.2 28.418 28.148
Primal Integral: 0.0285599983
