12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R203
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 957.880
BKS: 870.8
Optimal: 1
Wed 26 Jan 2022 10:34:57 AM CST
timestamp: 1643164497
Solution value, local machine time, standardized time
957.4 0.023 0.023
951.2 0.025 0.025
940.7 0.025 0.025
937.1 0.026 0.026
936.9 0.026 0.026
934.7 0.026 0.026
933.5 0.028 0.028
933.3 0.028 0.028
932.9 0.028 0.028
930.8 0.028 0.028
930.3 0.028 0.028
929.0 0.036 0.036
928.1 0.036 0.036
926.6 0.037 0.037
925.2 0.037 0.037
923.9 0.073 0.072
923.5 0.076 0.075
923.1 0.082 0.081
922.9 0.082 0.081
922.5 0.121 0.120
919.1 0.121 0.120
917.1 0.121 0.120
915.9 0.121 0.120
915.5 0.121 0.120
914.5 0.128 0.127
909.5 0.142 0.141
908.1 0.142 0.141
907.8 0.142 0.141
907.0 0.142 0.141
906.6 0.161 0.159
905.2 0.173 0.171
904.3 0.256 0.254
903.7 0.291 0.288
903.6 0.291 0.288
902.3 0.291 0.288
902.2 0.546 0.541
900.9 0.549 0.544
896.9 0.549 0.544
895.2 0.550 0.545
894.7 0.550 0.545
894.2 0.551 0.546
893.7 0.551 0.546
890.5 0.552 0.547
890.0 0.552 0.547
889.9 1.147 1.136
889.0 1.149 1.138
887.9 2.422 2.399
882.8 2.423 2.400
881.1 2.541 2.517
880.0 2.542 2.518
878.1 3.949 3.911
876.9 3.950 3.912
876.8 4.106 4.067
875.8 4.106 4.067
875.6 31.377 31.079
875.5 31.410 31.112
874.9 31.410 31.112
873.3 31.443 31.144
871.3 31.615 31.315
870.8 31.615 31.315
Primal Integral: 0.0131889731
