12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R105
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1490.830
BKS: 1355.3
Optimal: 1
Fri 14 Jan 2022 06:34:39 PM CST
timestamp: 1642156479
Solution value, local machine time, standardized time
1488.4 0.004 0.004
1482.2 0.005 0.005
1477.8 0.005 0.005
1476.8 0.005 0.005
1475.2 0.005 0.005
1474.5 0.005 0.005
1473.0 0.005 0.005
1470.3 0.005 0.005
1469.7 0.005 0.005
1469.4 0.005 0.005
1462.7 0.005 0.005
1454.3 0.005 0.005
1452.1 0.006 0.006
1450.0 0.006 0.006
1449.6 0.006 0.006
1449.5 0.006 0.006
1448.6 0.006 0.006
1447.6 0.006 0.006
1443.9 0.006 0.006
1438.4 0.006 0.006
1437.3 0.007 0.007
1437.0 0.007 0.007
1424.8 0.008 0.008
1423.7 0.008 0.008
1423.5 0.011 0.011
1420.7 0.011 0.011
1419.8 0.011 0.011
1415.4 0.012 0.012
1407.5 0.013 0.013
1400.5 0.013 0.013
1399.6 0.014 0.014
1398.8 0.014 0.014
1393.9 0.017 0.017
1393.4 0.017 0.017
1392.6 0.028 0.028
1391.9 0.031 0.031
1390.7 0.031 0.031
1389.3 0.031 0.031
1388.4 0.031 0.031
1387.6 0.031 0.031
1386.7 0.035 0.035
1382.7 0.036 0.036
1379.4 0.038 0.038
1372.0 0.081 0.080
1371.6 0.082 0.081
1371.2 0.113 0.112
1370.8 0.119 0.118
1369.9 0.204 0.202
1369.7 0.220 0.218
1369.5 0.240 0.238
1369.1 0.240 0.238
1367.1 0.240 0.238
1366.5 0.492 0.487
1366.1 0.492 0.487
1364.1 0.492 0.487
1363.0 0.511 0.506
1360.0 0.511 0.506
1359.0 1.406 1.393
1358.9 3.261 3.230
1357.8 4.156 4.117
1357.5 4.794 4.748
1357.1 4.794 4.748
1356.4 4.794 4.748
1355.9 7.820 7.746
1355.8 7.825 7.751
1355.3 7.865 7.790
Primal Integral: 0.0011398182
