12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC104
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1245.530
BKS: 1132.3
Optimal: 1
Fri 14 Jan 2022 06:35:01 PM CST
timestamp: 1642156501
Solution value, local machine time, standardized time
1235.3 0.015 0.015
1231.9 0.015 0.015
1231.3 0.015 0.015
1229.0 0.015 0.015
1223.2 0.015 0.015
1215.6 0.015 0.015
1215.0 0.015 0.015
1214.9 0.015 0.015
1214.5 0.016 0.016
1214.0 0.016 0.016
1213.9 0.016 0.016
1212.9 0.018 0.018
1212.0 0.018 0.018
1211.9 0.018 0.018
1211.3 0.018 0.018
1200.2 0.018 0.018
1200.0 0.018 0.018
1197.5 0.019 0.019
1181.7 0.020 0.020
1181.1 0.020 0.020
1179.3 0.020 0.020
1177.2 0.020 0.020
1176.0 0.021 0.021
1175.7 0.021 0.021
1174.6 0.021 0.021
1172.9 0.021 0.021
1169.4 0.021 0.021
1167.7 0.022 0.022
1163.2 0.022 0.022
1162.6 0.022 0.022
1157.7 0.304 0.301
1155.9 0.315 0.312
1154.1 0.315 0.312
1153.5 0.315 0.312
1151.7 0.315 0.312
1150.7 0.315 0.312
1148.8 0.334 0.331
1146.4 0.336 0.333
1146.3 0.361 0.358
1146.0 0.362 0.359
1145.9 0.364 0.361
1145.0 0.485 0.480
1144.2 0.533 0.528
1143.5 0.544 0.539
1143.3 0.559 0.554
1142.9 0.575 0.570
1141.8 1.023 1.013
1141.3 1.026 1.016
1141.1 1.028 1.018
1140.4 1.033 1.023
1139.8 1.034 1.024
1139.1 1.034 1.024
1137.4 1.035 1.025
1136.4 1.447 1.433
1135.8 1.447 1.433
1133.9 1.448 1.434
1132.8 1.508 1.494
1132.6 3.740 3.704
1132.5 3.740 3.704
1132.3 3.740 3.704
Primal Integral: 0.0011018944
