12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R102
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1613.260
BKS: 1466.6
Optimal: 1
Fri 14 Jan 2022 06:34:36 PM CST
timestamp: 1642156476
Solution value, local machine time, standardized time
1613.1 0.004 0.004
1609.7 0.004 0.004
1606.8 0.004 0.004
1597.8 0.005 0.005
1596.6 0.005 0.005
1596.5 0.005 0.005
1595.5 0.005 0.005
1587.9 0.005 0.005
1583.7 0.005 0.005
1579.2 0.005 0.005
1572.2 0.005 0.005
1572.1 0.005 0.005
1569.7 0.005 0.005
1568.7 0.006 0.006
1559.1 0.006 0.006
1558.9 0.006 0.006
1558.7 0.006 0.006
1556.8 0.006 0.006
1552.8 0.006 0.006
1551.2 0.006 0.006
1550.8 0.006 0.006
1540.9 0.006 0.006
1540.7 0.006 0.006
1538.7 0.007 0.007
1538.5 0.007 0.007
1538.0 0.008 0.008
1536.8 0.009 0.009
1536.7 0.010 0.010
1535.3 0.011 0.011
1530.8 0.023 0.023
1522.2 0.023 0.023
1520.1 0.023 0.023
1515.8 0.023 0.023
1513.8 0.023 0.023
1508.4 0.023 0.023
1501.4 0.023 0.023
1498.6 0.024 0.024
1498.1 0.024 0.024
1496.9 0.024 0.024
1493.5 0.024 0.024
1485.8 0.024 0.024
1481.1 0.024 0.024
1480.5 0.029 0.029
1480.1 0.033 0.033
1475.5 0.042 0.042
1475.4 0.043 0.043
1474.9 0.043 0.043
1472.6 0.094 0.093
1471.0 0.094 0.093
1469.9 0.094 0.093
1469.7 0.094 0.093
1468.6 0.103 0.102
1467.6 0.103 0.102
1466.8 0.200 0.198
1466.6 0.247 0.245
Primal Integral: 0.0001080973
